Date,High,Low,Open,Close,Volume,Adj Close
2002-05-17,24.5,23.125,23.5,24.5,99054380.0,15.545013427734375
2002-05-20,24.5,24.5,24.5,24.5,0.0,15.545013427734375
2002-05-21,24.625,23.75,24.375,24.375,17928392.0,15.465704917907715
2002-05-22,24.25,23.5,24.125,23.625,13634376.0,14.989837646484375
2002-05-23,23.875,23.5,23.625,23.75,3998656.0,15.069144248962402
2002-05-24,24.0,23.75,23.75,23.75,1363200.0,15.069144248962402
2002-05-27,23.875,23.25,23.875,23.375,1494452.0,14.831210136413574
2002-05-28,23.625,23.125,23.25,23.125,1520000.0,14.67259407043457
2002-05-29,23.25,22.125,23.125,22.875,7822200.0,14.513968467712402
2002-05-30,22.75,22.25,22.75,22.5,10719744.0,14.276032447814941
2002-05-31,22.625,22.375,22.5,22.5,3443400.0,14.276032447814941
2002-06-03,22.5,22.25,22.5,22.25,2323160.0,14.117409706115723
2002-06-04,22.25,21.75,22.25,22.0,1210800.0,13.95878791809082
2002-06-05,22.125,21.75,21.75,22.0,1445200.0,13.95878791809082
2002-06-06,22.375,22.0,22.125,22.375,736600.0,14.196722030639648
2002-06-07,22.5,22.125,22.125,22.5,2490128.0,14.276032447814941
2002-06-10,23.0,22.5,22.5,23.0,601200.0,14.593278884887695
2002-06-11,23.125,22.5,23.0,22.75,1539360.0,14.434656143188477
2002-06-12,22.75,22.5,22.625,22.75,1760680.0,14.434656143188477
2002-06-13,22.75,22.375,22.75,22.625,387248.0,14.35534381866455
2002-06-14,22.625,21.5,22.625,21.75,1005648.0,13.800164222717285
2002-06-17,22.75,22.375,22.75,22.75,926408.0,14.434656143188477
2002-06-18,22.875,22.625,22.75,22.75,1036472.0,14.434656143188477
2002-06-19,22.875,22.625,22.875,22.625,361592.0,14.35534381866455
2002-06-20,22.875,22.125,22.5,22.25,3578800.0,14.117409706115723
2002-06-21,22.25,22.25,22.25,22.25,0.0,14.117409706115723
2002-06-25,22.125,21.625,21.625,21.875,1240120.0,13.879476547241211
2002-06-26,22.0,21.375,21.5,22.0,1253632.0,13.95878791809082
2002-06-27,22.75,22.0,22.25,22.5,2171360.0,14.276032447814941
2002-06-28,23.125,22.75,23.0,23.0,1800124.0,14.593278884887695
2002-07-01,23.0,22.75,22.875,22.875,455584.0,14.513968467712402
2002-07-02,23.0,22.75,23.0,23.0,1158284.0,14.593278884887695
2002-07-03,23.25,22.875,23.0,23.125,1462768.0,14.67259407043457
2002-07-04,23.125,23.0,23.125,23.0,331672.0,14.593278884887695
2002-07-05,23.0,22.5,23.0,22.75,1083452.0,14.434656143188477
2002-07-08,23.375,22.75,22.75,23.375,908140.0,14.831210136413574
2002-07-09,23.5,23.375,23.5,23.375,740684.0,14.831210136413574
2002-07-10,23.375,23.125,23.25,23.125,419200.0,14.67259407043457
2002-07-11,23.0,22.0,22.75,22.0,1177620.0,13.95878791809082
2002-07-12,22.625,21.875,22.5,22.0,405080.0,13.95878791809082
2002-07-15,22.25,21.375,22.25,21.5,2254528.0,13.641544342041016
2002-07-16,21.875,21.5,21.5,21.875,807680.0,13.879476547241211
2002-07-17,22.25,21.625,21.875,21.625,314000.0,13.720855712890625
2002-07-18,22.25,21.625,22.0,22.25,618800.0,14.117409706115723
2002-07-19,22.25,21.25,22.25,21.25,120320.0,13.482922554016113
