Date,High,Low,Open,Close,Volume,Adj Close
2000-02-21,18.75,17.5,17.5,18.0,449816.0,8.041868209838867
2000-02-22,18.75,18.0,18.75,18.125,229280.0,8.097711563110352
2000-02-23,18.75,18.0,18.5,18.625,182364.0,8.321099281311035
2000-02-24,18.75,18.25,18.625,18.25,130108.0,8.153559684753418
2000-02-25,18.75,18.125,18.75,18.25,177800.0,8.153559684753418
2000-02-28,18.625,18.125,18.25,18.25,195220.0,8.153559684753418
2000-02-29,18.25,18.0,18.25,18.125,112800.0,8.097711563110352
2000-03-01,18.25,17.75,18.25,17.875,127712.0,7.986019611358643
2000-03-02,17.875,17.25,17.75,17.375,195200.0,7.762636661529541
2000-03-03,17.375,16.875,17.25,17.25,121376.0,7.706789493560791
2000-03-06,18.0,16.75,17.0,17.5,496240.0,7.818482398986816
2000-03-07,18.375,17.875,18.0,18.0,233280.0,8.041868209838867
2000-03-08,18.0,17.25,18.0,17.25,3180020.0,7.706789493560791
2000-03-09,18.125,17.5,17.5,18.0,176620.0,8.041868209838867
2000-03-10,18.75,17.5,18.0,18.75,364560.0,8.376944541931152
2000-03-14,19.125,18.75,19.0,18.875,252340.0,8.43278980255127
2000-03-15,19.0,18.25,18.75,18.5,128108.0,8.265251159667969
2000-03-16,18.875,18.0,18.75,18.0,291504.0,8.041868209838867
2000-03-17,18.25,18.0,18.0,18.0,247040.0,8.041868209838867
2000-03-20,18.375,18.0,18.125,18.0,99500.0,8.041868209838867
2000-03-21,18.25,17.625,18.25,17.875,211920.0,7.986019611358643
2000-03-22,18.0,17.75,17.75,17.75,324652.0,7.930173873901367
2000-03-23,18.0,16.875,17.75,17.625,79840.0,7.874327182769775
2000-03-24,17.625,17.0,17.125,17.5,207600.0,7.818482398986816
2000-03-27,17.625,17.25,17.5,17.25,94376.0,7.706789493560791
2000-03-28,17.375,17.25,17.375,17.375,80376.0,7.762636661529541
2000-03-29,17.5,17.125,17.25,17.25,139000.0,7.706789493560791
2000-03-30,17.5,16.625,17.5,17.125,169372.0,7.650943756103516
2000-03-31,17.25,16.75,17.25,17.0,106600.0,7.595096111297607
2000-04-03,17.125,16.875,17.125,17.0,75400.0,7.595096111297607
2000-04-04,17.25,17.0,17.125,17.0,72320.0,7.595096111297607
2000-04-05,17.5,16.625,17.0,17.25,124880.0,7.706789493560791
2000-04-06,17.5,16.875,17.25,17.25,542200.0,7.706789493560791
2000-04-07,17.5,17.125,17.375,17.25,70500.0,7.706789493560791
2000-04-10,17.25,16.75,17.25,16.875,141180.0,7.539249420166016
2000-04-11,17.25,16.75,17.25,16.875,78060.0,7.539249420166016
2000-04-12,17.5,16.75,17.0,17.5,231444.0,7.818482398986816
2000-04-13,17.0,16.75,16.875,16.75,79360.0,7.483402729034424
2000-04-14,17.0,16.625,16.875,16.625,107432.0,7.42755651473999
2000-04-17,16.625,15.75,16.5,16.0,96920.0,7.1483259201049805
2000-04-18,16.75,15.75,16.125,16.75,41300.0,7.483402729034424
2000-04-19,16.875,16.125,16.5,16.875,55140.0,7.539249420166016
2000-04-20,17.0,16.75,16.75,17.0,5000.0,7.595096111297607
2000-04-25,16.75,16.625,16.75,16.75,23280.0,7.483402729034424
2000-04-26,16.75,16.0,16.625,16.125,78400.0,7.204172134399414
2000-04-27,16.375,16.125,16.375,16.375,52600.0,7.3158650398254395
2000-04-28,16.5,15.75,15.75,16.375,82804.0,7.3158650398254395
2000-05-02,17.0,16.625,16.625,16.625,61200.0,7.42755651473999
2000-05-03,17.0,16.25,16.75,17.0,89200.0,7.595096111297607
2000-05-04,17.25,16.25,16.5,17.25,87616.0,7.706789493560791
2000-05-05,17.625,17.0,17.0,17.25,416040.0,7.706789493560791
2000-05-08,17.625,16.75,17.25,17.25,180000.0,7.706789493560791
2000-05-10,17.25,16.875,17.25,17.0,214000.0,7.595096111297607
2000-05-11,17.25,16.5,16.875,16.875,190772.0,7.539249420166016
2000-05-12,16.875,16.5,16.5,16.75,110900.0,7.783200263977051
2000-05-15,16.625,16.25,16.5,16.25,24400.0,7.550867557525635
2000-05-16,16.75,16.25,16.375,16.625,86800.0,7.725118160247803
2000-05-17,16.875,16.5,16.75,16.75,71100.0,7.783200263977051
2000-05-18,16.5,16.25,16.25,16.375,236648.0,7.608950138092041
2000-05-19,16.625,16.25,16.375,16.5,44280.0,7.667033672332764
2000-05-22,17.125,16.625,16.75,17.125,237280.0,7.957452297210693
2000-05-23,16.75,16.375,16.625,16.5,201700.0,7.667033672332764
2000-05-24,16.5,16.25,16.25,16.25,63200.0,7.550867557525635
2000-05-25,16.25,16.0,16.25,16.25,96924.0,7.550867557525635
2000-05-26,16.375,16.25,16.25,16.25,48716.0,7.550867557525635
2000-05-29,16.5,16.0,16.0,16.5,32552.0,7.667033672332764
2000-05-30,16.5,16.25,16.25,16.25,198388.0,7.550867557525635
2000-05-31,16.5,15.75,16.5,16.5,94000.0,7.667033672332764
2000-06-02,17.0,16.125,16.125,16.875,187188.0,7.841284275054932
2000-06-05,16.875,16.125,16.5,16.5,87520.0,7.667033672332764
2000-06-06,16.5,16.375,16.375,16.5,109488.0,7.667033672332764
2000-06-07,16.75,16.5,16.5,16.75,92800.0,7.783200263977051
2000-06-08,17.0,16.75,16.75,16.875,117840.0,7.841284275054932
2000-06-09,17.5,17.0,17.0,17.5,273200.0,8.13170337677002
2000-06-13,17.625,17.0,17.625,17.0,119680.0,7.8993682861328125
2000-06-14,17.375,16.625,17.25,16.75,66840.0,7.783200263977051
2000-06-15,17.0,16.625,16.75,16.625,121800.0,7.725118160247803
2000-06-16,16.875,16.25,16.75,16.75,157960.0,7.783200263977051
2000-06-20,17.375,16.75,16.75,17.25,137200.0,8.015536308288574
2000-06-21,17.375,17.0,17.0,17.375,397200.0,8.073619842529297
2000-06-22,17.5,17.0,17.0,17.25,139828.0,8.015536308288574
2000-06-26,16.75,16.25,16.75,16.75,40800.0,7.783200263977051
2000-06-27,17.0,16.625,16.75,16.875,50400.0,7.841284275054932
2000-06-28,16.875,16.5,16.625,16.5,15428.0,7.667033672332764
2000-06-29,17.0,16.25,16.25,16.5,118000.0,7.667033672332764
2000-06-30,16.625,16.25,16.5,16.5,96320.0,7.667033672332764
2000-07-03,16.625,16.25,16.5,16.5,223648.0,7.667033672332764
2000-07-04,16.625,16.375,16.375,16.375,14400.0,7.608950138092041
2000-07-05,16.375,16.0,16.375,16.0,40400.0,7.4347004890441895
2000-07-06,16.375,15.875,15.875,16.25,31960.0,7.550867557525635
2000-07-10,16.375,16.0,16.0,16.375,59200.0,7.608950138092041
