Date,High,Low,Open,Close,Volume,Adj Close
2016-06-13,51.75,50.0,51.0,51.75,651503.0,46.75312042236328
2016-06-14,52.5,50.75,51.5,52.5,75281.0,47.43070602416992
2016-06-15,52.25,51.25,52.0,51.5,74128.0,46.527259826660156
2016-06-16,51.5,50.75,51.5,51.0,49525.0,46.07554244995117
2016-06-17,54.0,50.0,50.0,52.5,28667.0,47.43070602416992
2016-06-20,54.5,50.5,54.0,53.0,41413.0,47.882423400878906
2016-06-21,53.0,51.0,53.0,52.0,34320.0,46.978981018066406
2016-06-22,52.75,52.0,52.0,52.0,26190.0,46.978981018066406
2016-06-23,52.75,51.5,52.0,52.75,25532.0,47.65656280517578
2016-06-27,50.75,50.0,50.25,50.25,46635.0,45.39795684814453
2016-06-28,51.75,50.0,50.25,51.0,20290.0,46.07554244995117
2016-06-29,52.5,50.5,52.5,51.5,13825.0,46.527259826660156
2016-06-30,52.0,50.75,50.75,51.75,9529.0,46.75312042236328
2016-07-01,52.0,50.5,52.0,51.5,10820.0,46.527259826660156
2016-07-04,52.5,50.75,50.75,51.5,22162.0,46.527259826660156
2016-07-05,51.75,50.75,50.75,50.75,14698.0,45.849674224853516
2016-07-06,51.5,50.5,50.75,51.0,4955.0,46.07554244995117
2016-07-07,51.5,50.75,51.25,50.75,10580.0,45.849674224853516
2016-07-08,51.75,50.25,50.25,51.75,14709.0,46.75312042236328
2016-07-11,52.25,51.75,51.75,51.75,18263.0,46.75312042236328
2016-07-12,53.0,51.75,51.75,52.0,10242.0,46.978981018066406
2016-07-13,53.0,51.5,53.0,51.75,4930.0,46.75312042236328
2016-07-14,53.5,51.75,51.75,53.5,12168.0,48.33414077758789
2016-07-15,53.5,52.25,53.5,53.25,9626.0,48.10828399658203
2016-07-18,54.75,53.5,53.5,53.5,12806.0,48.33414077758789
2016-07-19,54.0,53.25,54.0,54.0,15723.0,48.78586196899414
2016-07-20,54.75,53.0,54.75,54.25,19386.0,49.01172637939453
2016-07-21,56.0,53.75,54.5,55.0,14746.0,49.68930435180664
