Date,High,Low,Open,Close,Volume,Adj Close
2000-06-30,102.0,80.0,90.0,102.0,2229670.0,68.80716705322266
2000-07-03,102.0,95.0,102.0,100.0,548180.0,67.45799255371094
2000-07-04,101.0,98.5,99.0,101.0,74100.0,68.13258361816406
2000-07-05,101.0,98.0,100.0,99.0,44450.0,66.7834243774414
2000-07-06,100.0,98.0,100.0,98.0,72360.0,66.10885620117188
2000-07-07,98.0,98.0,98.0,98.0,0.0,66.10885620117188
2000-07-10,106.0,100.0,101.5,100.0,106125.0,67.45799255371094
2000-07-11,102.0,100.0,102.0,100.0,106438.0,67.45799255371094
2000-07-12,101.0,100.0,100.0,100.5,667258.0,67.79529571533203
2000-07-13,100.0,95.0,100.0,100.0,177741.0,67.45799255371094
2000-07-14,100.0,96.0,100.0,100.0,125850.0,67.45799255371094
2000-07-17,100.0,90.0,100.0,95.0,174660.0,64.0851058959961
2000-07-18,98.5,94.0,95.0,97.0,30650.0,65.43427276611328
2000-07-19,99.5,98.0,99.0,99.0,51462.0,66.7834243774414
2000-07-20,100.0,99.0,100.0,100.0,159208.0,67.45799255371094
2000-07-21,100.0,98.0,100.0,98.0,14450.0,66.10885620117188
2000-07-24,98.0,98.0,98.0,98.0,0.0,66.10885620117188
2000-07-25,101.0,99.0,99.0,100.5,193900.0,67.79529571533203
2000-07-26,105.0,101.0,101.0,104.0,29625.0,70.15632629394531
2000-07-27,104.0,104.0,104.0,104.0,0.0,70.15632629394531
2000-07-28,120.0,108.0,108.0,116.0,45782.0,78.25130462646484
2000-07-31,118.0,108.0,118.0,113.0,131700.0,76.2275390625
2000-08-01,112.0,107.0,112.0,107.0,2900.0,72.18006896972656
2000-08-02,112.0,107.0,107.0,112.0,785836.0,75.55297088623047
2000-08-03,115.0,113.0,113.0,115.0,45446.0,77.57670593261719
2000-08-04,121.0,114.0,114.0,121.0,40530.0,81.62419128417969
2000-08-07,122.0,120.0,121.5,120.5,36100.0,81.2868881225586
2000-08-08,131.0,122.0,122.0,129.0,55800.0,87.02082824707031
2000-08-09,145.0,133.0,133.0,144.0,259100.0,97.1395263671875
2000-08-10,149.0,131.0,147.5,140.0,43300.0,94.44122314453125
2000-08-11,140.0,126.5,140.0,126.5,7750.0,85.33438110351562
2000-08-14,135.5,127.0,127.0,130.0,213900.0,87.69540405273438
2000-08-15,132.0,129.5,132.0,129.5,298368.0,87.35811614990234
2000-08-16,132.0,128.0,132.0,128.0,26832.0,86.34624481201172
2000-08-17,130.0,128.0,128.0,130.0,4100.0,87.69540405273438
2000-08-18,132.0,130.0,130.0,131.0,21000.0,88.36998748779297
2000-08-21,135.0,132.0,132.0,135.0,70650.0,91.06831359863281
2000-08-22,137.0,133.0,137.0,133.0,49875.0,89.71913146972656
2000-08-23,134.0,120.0,134.0,120.0,27655.0,80.94959259033203
2000-08-24,124.0,117.0,124.0,120.0,132380.0,80.94959259033203
2000-08-25,122.0,119.0,120.0,120.0,32550.0,80.94959259033203
