Date,High,Low,Open,Close,Volume,Adj Close
2017-05-31,79.5,70.75,71.0,77.5,9429442,77.5
2017-06-01,83.75,75.5,78.25,80.0,1772657,80.0
2017-06-02,82.0,78.25,80.75,79.0,338885,79.0
2017-06-05,80.5,79.0,80.5,80.25,316418,80.25
2017-06-06,80.25,80.25,80.25,80.25,0,80.25
2017-06-07,80.0,75.5,79.75,79.25,372783,79.25
2017-06-08,79.75,76.75,79.25,76.75,115227,76.75
2017-06-09,80.5,76.75,76.75,80.5,243678,80.5
2017-06-12,82.0,78.75,81.5,80.0,69781,80.0
2017-06-13,88.0,79.75,80.0,83.5,237806,83.5
2017-06-14,88.75,84.0,85.75,86.75,241720,86.75
2017-06-15,89.0,85.5,87.5,86.5,183620,86.5
2017-06-16,88.0,82.5,88.0,84.75,115598,84.75
2017-06-19,86.5,83.0,86.5,85.5,122600,85.5
2017-06-20,86.75,80.0,86.0,80.0,161735,80.0
2017-06-21,80.75,77.75,79.5,78.0,288629,78.0
2017-06-22,79.0,77.0,78.5,77.75,59095,77.75
2017-06-23,77.75,77.75,77.75,77.75,0,77.75
2017-06-26,79.0,76.0,79.0,76.5,127863,76.5
2017-06-27,79.0,75.25,76.0,79.0,146746,79.0
2017-06-28,82.5,79.0,79.0,82.0,73110,82.0
2017-06-29,84.0,80.0,82.0,82.5,55851,82.5
2017-06-30,83.0,79.5,81.75,83.0,104989,83.0
2017-07-03,83.25,79.75,83.0,81.75,182763,81.75
2017-07-04,82.5,78.75,82.0,80.0,46270,80.0
2017-07-05,82.25,80.0,80.0,80.5,24451,80.5
2017-07-06,82.0,80.5,80.5,81.75,62620,81.75
2017-07-07,81.75,80.25,81.75,81.0,98119,81.0
2017-07-10,82.0,81.0,81.0,81.75,27076,81.75
2017-07-11,82.0,79.5,81.25,79.5,161866,79.5
2017-07-12,80.75,77.25,79.75,78.0,54280,78.0
2017-07-13,80.5,77.0,78.25,80.0,46864,80.0
2017-07-14,81.5,79.5,80.0,80.5,45908,80.5
2017-07-17,81.75,80.25,81.75,81.0,18699,81.0
2017-07-18,82.0,80.25,81.0,80.25,46141,80.25
2017-07-19,82.0,80.0,80.25,80.75,61146,80.75
2017-07-20,81.75,80.0,80.75,80.5,20002,80.5
2017-07-21,81.25,79.0,80.25,79.25,39047,79.25
2017-07-24,79.25,77.5,79.25,78.5,72595,78.5
2017-07-25,80.25,77.75,79.0,78.0,26311,78.0
2017-07-26,79.75,78.25,78.25,78.75,142424,78.75
2017-07-27,79.5,78.25,78.75,78.75,11590,78.75
2017-07-28,79.25,78.25,78.75,78.25,5380,78.25
2017-07-31,80.25,78.0,78.25,78.25,52557,78.25
2017-08-01,80.0,78.0,78.25,79.0,59047,79.0
2017-08-02,79.25,78.25,79.0,79.0,42999,79.0
2017-08-03,81.0,79.0,79.25,81.0,42854,81.0
2017-08-04,82.25,80.25,80.75,82.0,43824,82.0
2017-08-07,82.0,79.25,81.5,80.5,106702,80.5
2017-08-08,81.75,80.0,80.5,80.25,45167,80.25
2017-08-09,81.75,79.75,80.0,81.75,50761,81.75
2017-08-10,81.75,80.5,81.75,80.75,37852,80.75
2017-08-11,80.5,79.75,80.25,79.75,33011,79.75
2017-08-14,82.0,80.0,80.0,82.0,24919,82.0
2017-08-15,82.0,80.25,82.0,80.25,10353,80.25
2017-08-16,81.0,80.25,80.5,80.75,41529,80.75
2017-08-17,81.0,79.5,80.25,81.0,12055,81.0
2017-08-18,80.75,79.0,80.75,79.25,89439,79.25
2017-08-21,80.0,77.5,80.0,77.75,13017,77.75
2017-08-22,79.75,76.75,77.75,79.5,31988,79.5
2017-08-23,80.0,79.25,80.0,79.5,21959,79.5
2017-08-24,79.25,75.25,79.25,76.0,235901,76.0
2017-08-25,76.5,75.5,76.25,76.0,101965,76.0
2017-08-28,76.75,75.5,76.0,75.75,437690,75.75
2017-08-29,77.0,72.25,75.75,72.5,83518,72.5
2017-08-30,74.25,72.0,73.0,73.0,74833,73.0
2017-08-31,74.75,72.5,74.5,74.5,118800,74.5
2017-09-01,76.5,74.0,74.75,75.75,63539,75.75
2017-09-04,75.5,75.0,75.5,75.25,32407,75.25
2017-09-05,76.75,75.0,75.0,75.25,34969,75.25
2017-09-06,76.0,75.0,75.25,75.5,21809,75.5
2017-09-07,76.25,75.5,76.25,75.5,7368,75.5
2017-09-08,76.0,75.5,75.75,75.75,39143,75.75
2017-09-11,77.0,75.5,76.0,76.0,155565,76.0
2017-09-12,77.25,75.75,77.0,75.75,249412,75.75
2017-09-13,77.0,75.5,76.0,76.25,84288,76.25
2017-09-14,78.25,76.0,76.75,76.0,34130,76.0
2017-09-15,76.5,74.0,76.0,74.5,241938,74.5
2017-09-18,75.25,72.25,75.25,72.5,206162,72.5
2017-09-19,73.5,71.25,72.5,72.0,153872,72.0
2017-09-20,74.75,70.5,74.75,71.5,370708,71.5
2017-09-21,73.5,71.25,71.5,73.25,51383,73.25
2017-09-22,74.0,72.5,73.5,72.5,19415,72.5
2017-09-25,73.5,72.5,72.75,72.75,25192,72.75
2017-09-26,73.75,73.0,73.0,73.5,168119,73.5
2017-09-27,74.0,73.0,73.5,73.75,95501,73.75
2017-09-28,74.25,72.5,73.75,73.75,44575,73.75
2017-09-29,74.25,73.25,73.75,74.25,28239,74.25
2017-10-02,75.25,73.5,74.5,73.75,42265,73.75
2017-10-03,75.0,73.75,74.0,74.5,36730,74.5
2017-10-04,75.25,73.75,74.5,75.0,25440,75.0
2017-10-05,74.75,73.75,74.5,73.75,39592,73.75
2017-10-06,74.75,73.25,73.25,74.75,16425,74.75
2017-10-09,75.25,72.5,75.25,72.75,128251,72.75
2017-10-10,73.5,72.25,73.0,72.5,36624,72.5
2017-10-11,73.25,72.0,72.5,72.5,66107,72.5
2017-10-12,73.25,67.0,72.5,70.0,93439,70.0
2017-10-13,72.5,70.75,71.25,72.0,78517,72.0
2017-10-16,73.75,71.0,73.5,71.5,23480,71.5
2017-10-17,71.75,68.5,71.75,71.0,106456,71.0
2017-10-18,71.0,69.25,71.0,70.0,27974,70.0
2017-10-19,70.0,68.0,70.0,68.5,89426,68.5
2017-10-20,69.0,67.0,68.5,67.25,70276,67.25
2017-10-23,68.0,66.0,67.5,67.25,22256,67.25
2017-10-24,67.25,65.5,67.25,66.5,70208,66.5
2017-10-25,66.25,62.75,66.0,63.0,130301,63.0
2017-10-26,66.0,62.0,63.0,64.0,69023,64.0
2017-10-27,66.0,63.0,64.25,64.5,24847,64.5
2017-10-30,67.5,64.0,65.0,64.25,46545,64.25
2017-10-31,66.75,64.25,64.25,64.5,33271,64.5
2017-11-01,67.75,63.25,65.25,66.0,138484,66.0
2017-11-02,66.5,65.5,66.25,66.0,77369,66.0
2017-11-03,66.75,65.5,66.75,66.5,12379,66.5
2017-11-06,68.75,64.75,68.0,65.5,55532,65.5
2017-11-07,66.5,64.5,66.0,65.75,17533,65.75
2017-11-08,66.25,65.5,65.75,65.75,19932,65.75
2017-11-09,65.75,64.5,65.75,64.5,32044,64.5
2017-11-10,65.5,64.25,64.25,64.75,7141,64.75
2017-11-13,66.0,64.0,65.5,64.5,85720,64.5
2017-11-14,65.75,62.0,64.5,62.0,114772,62.0
2017-11-15,62.5,61.0,62.0,61.25,220595,61.25
2017-11-16,62.25,61.0,61.25,61.5,54197,61.5
2017-11-17,61.75,60.0,61.5,61.0,51116,61.0
2017-11-20,65.5,61.25,61.25,61.75,21739,61.75
2017-11-21,64.0,61.25,62.0,62.0,40875,62.0
2017-11-22,71.5,63.5,63.5,68.75,918823,68.75
2017-11-23,71.25,65.5,70.75,66.0,122278,66.0
2017-11-24,67.5,65.75,67.5,66.25,136484,66.25
2017-11-27,68.0,64.5,66.0,66.25,76145,66.25
2017-11-28,66.25,65.5,66.25,65.75,73469,65.75
2017-11-29,68.5,65.5,66.75,68.5,409333,68.5
2017-11-30,71.5,66.75,68.5,70.5,132522,70.5
2017-12-01,71.0,68.0,68.0,71.0,5204055,71.0
2017-12-04,74.0,70.25,72.75,73.5,78143,73.5
2017-12-05,74.0,71.5,73.25,72.0,185666,72.0
2017-12-06,71.75,69.75,71.75,71.0,27955,71.0
2017-12-07,71.5,69.0,71.0,69.5,223897,69.5
2017-12-08,70.25,68.25,70.25,68.5,31589,68.5
2017-12-11,70.5,68.0,68.0,69.75,186817,69.75
2017-12-12,72.25,68.75,70.0,71.25,146248,71.25
2017-12-13,72.25,71.5,71.5,71.75,50918,71.75
2017-12-14,72.5,71.5,71.5,72.5,21495,72.5
2017-12-15,73.75,72.0,72.0,72.25,38087,72.25
2017-12-18,73.0,70.5,73.0,72.0,71760,72.0
2017-12-19,73.25,71.25,73.0,71.25,32531,71.25
2017-12-20,73.75,71.5,71.5,73.75,106763,73.75
2017-12-21,74.0,72.5,73.75,73.5,322415,73.5
2017-12-22,73.75,72.75,73.5,73.0,70992,73.0
2017-12-27,75.0,72.75,73.25,73.0,31668,73.0
2017-12-28,74.0,73.0,73.0,73.0,21489,73.0
2017-12-29,74.0,73.0,73.0,73.25,15239,73.25
2018-01-02,77.0,73.5,73.69999694824219,75.0,74185,75.0
2018-01-03,76.4000015258789,74.5999984741211,75.0,76.0,116303,76.0
2018-01-04,76.5,74.5999984741211,76.5,75.0,77766,75.0
2018-01-05,76.0,75.19999694824219,76.0,75.5,20161,75.5
2018-01-08,76.5999984741211,74.4000015258789,76.4000015258789,75.80000305175781,158216,75.80000305175781
2018-01-09,77.0,75.0999984741211,75.0999984741211,76.30000305175781,80807,76.30000305175781
2018-01-10,76.80000305175781,76.0,76.4000015258789,76.80000305175781,90353,76.80000305175781
2018-01-11,77.4000015258789,75.5999984741211,77.4000015258789,77.19999694824219,30837,77.19999694824219
2018-01-12,78.5999984741211,76.69999694824219,77.5999984741211,78.0,98049,78.0
2018-01-15,78.4000015258789,77.19999694824219,78.4000015258789,77.9000015258789,54665,77.9000015258789
2018-01-16,78.9000015258789,77.4000015258789,78.4000015258789,78.80000305175781,94890,78.80000305175781
2018-01-17,79.5,77.4000015258789,78.80000305175781,77.4000015258789,132418,77.4000015258789
2018-01-18,79.5999984741211,76.69999694824219,77.4000015258789,79.30000305175781,107972,79.30000305175781
2018-01-19,81.0,79.0,79.19999694824219,80.4000015258789,165884,80.4000015258789
2018-01-22,84.0,80.0,81.0,82.4000015258789,222199,82.4000015258789
2018-01-23,83.19999694824219,81.5,82.19999694824219,82.9000015258789,46151,82.9000015258789
2018-01-24,85.0,80.80000305175781,83.5,84.0999984741211,129675,84.0999984741211
2018-01-25,84.80000305175781,82.4000015258789,84.0,84.30000305175781,93963,84.30000305175781
2018-01-26,85.69999694824219,83.80000305175781,84.5999984741211,85.30000305175781,79604,85.30000305175781
2018-01-29,85.0999984741211,84.5,85.0999984741211,84.9000015258789,99308,84.9000015258789
2018-01-30,85.9000015258789,84.19999694824219,85.0,85.5999984741211,80562,85.5999984741211
2018-01-31,86.5,85.4000015258789,85.9000015258789,85.9000015258789,290110,85.9000015258789
2018-02-01,86.9000015258789,85.9000015258789,86.9000015258789,86.30000305175781,41495,86.30000305175781
2018-02-02,86.5,84.69999694824219,86.5,85.80000305175781,55323,85.80000305175781
2018-02-05,85.5999984741211,82.30000305175781,85.5999984741211,85.0,98971,85.0
2018-02-06,85.0,81.0,81.5999984741211,84.0999984741211,226077,84.0999984741211
2018-02-07,87.5,84.5,84.5,85.69999694824219,77312,85.69999694824219
2018-02-08,85.9000015258789,85.0,85.69999694824219,85.0,103119,85.0
2018-02-09,85.0,83.80000305175781,84.9000015258789,84.0,64581,84.0
2018-02-12,85.5,83.80000305175781,85.5,84.69999694824219,69636,84.69999694824219
2018-02-13,86.5,85.0999984741211,85.5,86.0999984741211,192865,86.0999984741211
2018-02-14,90.9000015258789,86.0,86.80000305175781,88.69999694824219,213461,88.69999694824219
2018-02-15,89.69999694824219,88.4000015258789,89.0,88.80000305175781,57147,88.80000305175781
2018-02-16,91.19999694824219,88.80000305175781,89.0,90.5999984741211,68256,90.5999984741211
2018-02-19,93.9000015258789,90.5999984741211,91.69999694824219,92.80000305175781,87862,92.80000305175781
2018-02-20,94.30000305175781,90.9000015258789,91.5999984741211,91.19999694824219,174376,91.19999694824219
2018-02-21,91.5999984741211,90.5,91.5999984741211,90.9000015258789,58190,90.9000015258789
2018-02-22,91.5,88.5,91.0999984741211,88.80000305175781,367965,88.80000305175781
2018-02-23,89.19999694824219,87.5999984741211,88.80000305175781,88.0,52346,88.0
2018-02-26,89.19999694824219,86.30000305175781,88.19999694824219,87.0999984741211,75588,87.0999984741211
2018-02-27,86.69999694824219,79.80000305175781,86.69999694824219,80.80000305175781,493862,80.80000305175781
2018-02-28,80.69999694824219,78.9000015258789,80.69999694824219,80.0,124599,80.0
2018-03-01,81.0999984741211,79.4000015258789,79.5,80.4000015258789,69520,80.4000015258789
2018-03-02,79.69999694824219,77.5,79.0,78.69999694824219,116290,78.69999694824219
2018-03-05,78.30000305175781,75.80000305175781,78.19999694824219,77.5,103769,77.5
2018-03-06,78.19999694824219,77.5,77.5,78.0,37925,78.0
2018-03-07,77.30000305175781,76.5,77.19999694824219,76.80000305175781,29244,76.80000305175781
2018-03-08,76.80000305175781,75.0999984741211,76.0999984741211,76.0,114386,76.0
2018-03-09,77.0,75.0,75.5999984741211,76.69999694824219,33059,76.69999694824219
