Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,77.5,73.0,76.5,73.0,25374.0,31.011415481567383
2000-01-04,77.0,71.0,75.0,76.0,45169.0,32.285850524902344
2000-01-07,77.5,74.0,76.0,77.5,11203.0,32.92306900024414
2000-01-10,77.5,74.5,77.0,77.5,7426.0,32.92306900024414
2000-01-11,77.0,75.0,77.0,76.0,21607.0,32.285850524902344
2000-01-12,78.0,76.0,76.0,77.0,19300.0,32.71066665649414
2000-01-13,77.0,76.0,77.0,76.5,13752.0,32.498252868652344
2000-01-14,78.0,76.0,76.0,78.0,14179.0,33.13547897338867
2000-01-17,82.0,78.5,79.5,82.0,116340.0,34.83473587036133
2000-01-18,87.5,82.0,85.0,84.5,141952.0,35.89677429199219
2000-01-19,87.0,84.5,86.0,84.5,47161.0,35.89677429199219
2000-01-20,85.0,81.0,84.0,81.0,10155.0,34.4099235534668
2000-01-21,83.0,80.0,81.0,80.0,25670.0,33.985107421875
2000-01-24,82.0,80.0,82.0,80.0,9956.0,33.985107421875
2000-01-25,82.0,80.0,80.0,81.5,8000.0,34.62232208251953
2000-01-26,82.0,79.5,80.0,80.0,173754.0,33.985107421875
2000-01-27,82.0,81.0,81.0,82.0,32030.0,34.83473587036133
2000-01-28,95.0,87.0,87.0,90.0,272909.0,38.233245849609375
2000-01-31,92.0,87.0,90.0,89.0,52671.0,37.80842971801758
2000-02-01,89.0,84.0,89.0,86.0,9993.0,36.533992767333984
2000-02-02,88.0,85.5,85.5,88.0,26290.0,37.38361740112305
2000-02-03,90.0,88.0,89.0,88.0,68605.0,37.38361740112305
2000-02-04,90.0,88.0,90.0,88.5,32394.0,37.59602355957031
2000-02-07,90.0,89.5,90.0,89.5,24450.0,38.02083206176758
2000-02-08,89.5,86.5,89.5,87.0,20022.0,36.95880126953125
2000-02-09,97.0,88.5,88.5,95.0,119691.0,40.35731887817383
2000-02-10,95.0,90.0,90.0,92.0,18594.0,39.0828742980957
2000-02-11,95.0,91.0,92.0,91.0,12210.0,38.658058166503906
2000-02-14,94.5,91.0,93.0,93.0,23508.0,39.507694244384766
2000-02-15,92.0,90.0,91.0,90.0,47876.0,38.233245849609375
2000-02-16,91.0,89.5,90.0,89.5,38728.0,38.02083206176758
2000-02-17,91.0,89.5,89.5,90.0,17850.0,38.233245849609375
2000-02-18,91.5,90.0,91.0,90.0,12995.0,38.233245849609375
2000-02-21,89.5,86.0,89.5,88.0,8060.0,37.38361740112305
2000-02-22,90.0,85.0,90.0,86.0,61550.0,36.533992767333984
2000-02-23,89.5,87.0,88.0,89.5,8060.0,38.02083206176758
2000-02-24,90.0,88.0,90.0,88.0,24168.0,37.38361740112305
2000-02-25,91.0,90.0,90.0,91.0,22750.0,38.658058166503906
2000-02-28,91.0,89.5,91.0,90.0,64700.0,38.233245849609375
2000-02-29,89.5,88.5,89.5,89.0,49190.0,37.80842971801758
2000-03-01,89.0,87.0,88.0,89.0,5950.0,37.80842971801758
2000-03-02,89.0,85.0,86.0,88.0,6100.0,37.38361740112305
2000-03-03,93.5,85.0,89.0,91.0,23438.0,38.658058166503906
2000-03-06,91.0,86.0,91.0,88.5,12960.0,37.59602355957031
2000-03-07,87.0,83.0,85.5,83.0,11540.0,35.25954818725586
2000-03-08,84.5,83.0,83.0,84.0,7220.0,35.68436813354492
2000-03-09,89.5,84.0,84.0,87.0,2626.0,36.95880126953125
2000-03-10,88.0,85.0,87.0,85.0,8240.0,36.10917282104492
2000-03-14,87.0,85.0,85.0,87.0,17850.0,36.95880126953125
2000-03-15,87.0,82.0,87.0,82.0,21583.0,34.83473587036133
2000-03-16,84.0,80.0,80.0,81.0,8633.0,34.4099235534668
2000-03-17,86.0,84.0,85.0,85.5,10807.0,36.321590423583984
2000-03-20,86.0,84.5,85.5,86.0,6000.0,36.533992767333984
2000-03-21,95.0,86.0,86.0,91.0,97308.0,38.658058166503906
2000-03-22,93.0,91.0,92.0,92.0,116100.0,39.0828742980957
2000-03-23,93.0,88.0,93.0,89.5,18221.0,38.02083206176758
2000-03-24,90.0,85.5,90.0,85.5,13137.0,36.321590423583984
2000-03-27,91.0,88.0,90.0,89.0,54324.0,37.80842971801758
2000-03-28,90.0,88.5,90.0,90.0,44025.0,38.233245849609375
2000-03-29,91.0,84.0,91.0,87.5,20224.0,37.17121505737305
2000-03-30,83.0,77.0,83.0,79.0,18236.0,33.560298919677734
2000-03-31,80.0,77.0,77.0,80.0,21346.0,33.985107421875
2000-04-03,80.0,78.5,80.0,80.0,18015.0,33.985107421875
2000-04-04,79.0,75.5,79.0,76.5,4000.0,32.498252868652344
2000-04-05,78.5,75.0,75.0,77.0,19210.0,32.71066665649414
2000-04-06,78.0,75.0,78.0,76.5,13460.0,32.498252868652344
2000-04-07,78.0,75.0,78.0,77.0,12450.0,32.71066665649414
2000-04-10,77.0,75.0,77.0,76.0,8582.0,32.285850524902344
2000-04-11,77.5,75.0,75.0,76.0,16737.0,32.285850524902344
2000-04-12,83.0,77.0,77.0,82.5,29720.0,35.047142028808594
2000-04-13,81.0,76.0,81.0,78.0,10679.0,33.13547897338867
2000-04-14,80.0,76.0,80.0,78.0,22635.0,33.13547897338867
2000-04-17,74.0,70.0,70.0,72.0,5250.0,30.586599349975586
2000-04-18,78.5,74.0,74.0,77.0,8374.0,32.71066665649414
2000-04-19,78.0,77.0,77.5,78.0,35075.0,33.13547897338867
2000-04-20,77.5,77.0,77.5,77.5,5200.0,32.92306900024414
2000-04-25,78.0,77.0,78.0,77.5,31855.0,32.92306900024414
2000-04-26,78.0,75.0,78.0,75.0,24503.0,31.86103630065918
2000-04-27,76.0,73.0,75.0,73.0,3800.0,31.011415481567383
2000-04-28,75.0,74.0,74.0,75.0,10141.0,31.86103630065918
2000-05-02,75.0,71.5,75.0,74.0,5852.0,31.436222076416016
2000-05-03,76.0,72.0,73.5,72.0,25825.0,30.586599349975586
2000-05-04,74.5,73.0,74.5,74.5,31671.0,31.648632049560547
2000-05-05,75.0,70.0,75.0,71.5,8632.0,30.374195098876953
2000-05-08,73.0,72.5,72.5,72.5,6887.0,30.79900360107422
2000-05-10,73.5,71.0,72.0,71.0,115480.0,30.161785125732422
2000-05-11,73.0,70.5,73.0,71.0,8500.0,30.161785125732422
2000-05-12,72.0,66.0,72.0,72.0,5060.0,30.586599349975586
2000-05-15,73.0,69.5,70.0,71.5,14500.0,30.374195098876953
2000-05-16,72.0,71.0,72.0,71.0,2000.0,30.161785125732422
2000-05-17,72.0,69.0,71.0,70.0,101707.0,29.736957550048828
2000-05-18,72.0,70.0,70.0,71.0,126195.0,30.161785125732422
2000-05-19,73.0,70.5,70.5,73.0,17130.0,31.011415481567383
2000-05-22,74.0,71.5,72.0,72.0,5100.0,30.586599349975586
2000-05-23,72.5,71.5,72.0,72.5,6360.0,30.79900360107422
2000-05-24,71.5,70.0,71.5,70.5,5000.0,29.949373245239258
2000-05-25,71.0,70.5,70.5,70.5,4679.0,29.949373245239258
2000-05-26,71.0,71.0,71.0,71.0,1800.0,30.161785125732422
2000-05-29,70.5,70.0,70.5,70.0,3315.0,29.736957550048828
2000-05-30,70.0,67.0,70.0,67.0,13300.0,28.462533950805664
2000-05-31,70.0,68.0,68.0,70.0,4300.0,29.736957550048828
2000-06-02,71.0,68.5,71.0,70.5,5277.0,29.949373245239258
2000-06-05,70.5,66.0,70.0,68.5,7430.0,29.099750518798828
2000-06-06,70.0,67.0,68.0,68.0,7825.0,28.887340545654297
2000-06-07,68.0,62.0,67.5,67.0,5500.0,28.462533950805664
2000-06-08,67.5,64.5,64.5,66.5,6206.0,28.250120162963867
2000-06-09,67.5,64.5,67.0,67.0,11714.0,28.462533950805664
2000-06-13,66.5,65.0,66.0,66.0,9250.0,28.037715911865234
2000-06-14,66.5,66.0,66.5,66.0,5800.0,28.037715911865234
2000-06-15,67.0,66.0,66.0,66.5,10005.0,28.250120162963867
2000-06-16,67.0,66.0,66.5,66.5,7900.0,28.250120162963867
2000-06-20,71.5,66.5,67.0,71.5,8000.0,30.374195098876953
2000-06-21,70.0,68.0,70.0,68.0,10100.0,28.887340545654297
2000-06-22,70.0,69.0,69.0,70.0,9230.0,29.736957550048828
2000-06-26,71.0,69.0,69.0,70.5,16800.0,29.949373245239258
2000-06-27,73.0,69.5,69.5,72.0,4500.0,30.586599349975586
2000-06-28,71.0,70.0,70.0,70.0,89600.0,29.736957550048828
2000-06-29,69.5,62.0,69.5,62.0,8800.0,26.338457107543945
2000-06-30,67.0,66.0,67.0,67.0,5814.0,28.462533950805664
2000-07-03,68.0,67.0,68.0,68.0,13851.0,28.887340545654297
2000-07-04,70.0,68.0,68.0,70.0,242600.0,29.736957550048828
2000-07-05,71.5,70.0,70.5,71.5,137886.0,30.374195098876953
2000-07-06,71.5,71.5,71.5,71.5,1500.0,30.374195098876953
2000-07-10,76.0,72.0,76.0,72.0,3638.0,30.586599349975586
2000-07-11,73.0,73.0,73.0,73.0,45865.0,31.011415481567383
2000-07-12,73.0,72.5,73.0,72.5,3400.0,30.79900360107422
2000-07-13,73.5,72.0,72.0,73.5,23300.0,31.22382164001465
2000-07-14,74.0,73.0,73.5,74.0,22702.0,31.436222076416016
2000-07-17,74.0,73.0,74.0,73.0,4203.0,31.011415481567383
2000-07-18,73.5,73.0,73.0,73.5,2270.0,31.22382164001465
2000-07-19,74.0,73.0,74.0,74.0,13928.0,31.436222076416016
2000-07-20,74.5,74.0,74.0,74.0,9566.0,31.436222076416016
2000-07-21,74.5,73.0,73.0,74.0,33105.0,31.436222076416016
2000-07-25,74.0,74.0,74.0,74.0,1001.0,31.436222076416016
2000-07-26,74.5,74.0,74.0,74.5,23800.0,31.648632049560547
2000-07-28,77.0,73.5,73.5,77.0,19200.0,32.71066665649414
2000-07-31,75.0,75.0,75.0,75.0,3713.0,31.86103630065918
2000-08-01,74.5,73.0,74.5,73.0,2003.0,31.011415481567383
2000-08-02,75.0,73.0,73.0,75.0,15200.0,31.86103630065918
2000-08-03,76.0,70.5,71.0,76.0,9620.0,32.285850524902344
2000-08-04,77.0,75.5,75.5,77.0,7600.0,32.71066665649414
2000-08-07,75.0,75.0,75.0,75.0,1800.0,31.86103630065918
2000-08-08,75.0,74.0,75.0,75.0,2800.0,31.86103630065918
2000-08-09,77.0,74.5,75.0,74.5,42020.0,31.648632049560547
2000-08-10,76.0,74.0,75.0,76.0,4400.0,32.285850524902344
2000-08-11,77.0,75.0,76.5,77.0,9700.0,32.71066665649414
2000-08-14,75.5,74.0,75.5,74.0,1000.0,31.436222076416016
2000-08-15,77.0,76.0,77.0,76.0,2801.0,32.285850524902344
2000-08-16,74.0,74.0,74.0,74.0,300.0,31.436222076416016
2000-08-17,76.0,74.0,74.0,76.0,700.0,32.285850524902344
2000-08-18,75.5,75.0,75.5,75.0,1400.0,31.86103630065918
2000-08-21,76.5,75.0,76.0,75.0,8737.0,31.86103630065918
2000-08-22,75.0,74.0,75.0,74.0,2896.0,31.436222076416016
2000-08-23,75.0,71.5,74.0,72.0,3598.0,30.586599349975586
2000-08-24,72.0,71.5,72.0,72.0,3500.0,30.586599349975586
2000-08-25,71.5,66.5,71.0,66.5,8480.0,28.250120162963867
2000-08-28,72.0,70.0,70.0,71.0,9480.0,30.161785125732422
2000-08-29,71.0,70.5,71.0,70.5,5605.0,29.949373245239258
2000-08-30,70.0,70.0,70.0,70.0,1328.0,29.736957550048828
2000-08-31,70.0,68.0,70.0,69.0,10814.0,29.312152862548828
2000-09-01,69.5,68.0,68.0,68.0,7175.0,28.887340545654297
2000-09-04,70.0,68.0,68.0,70.0,111250.0,29.736957550048828
2000-09-05,72.0,69.0,70.0,72.0,19335.0,30.586599349975586
2000-09-06,73.5,71.0,71.0,73.5,8470.0,31.22382164001465
2000-09-07,75.0,70.0,71.0,74.5,113246.0,31.648632049560547
2000-09-08,76.0,74.5,74.5,75.0,934200.0,31.86103630065918
2000-09-11,75.5,75.0,75.0,75.0,3280.0,31.86103630065918
2000-09-12,76.0,75.5,75.5,76.0,14567.0,32.285850524902344
2000-09-13,75.5,75.0,75.0,75.5,11021.0,32.07343673706055
2000-09-14,76.5,75.0,75.0,76.5,10415.0,32.498252868652344
2000-09-15,76.5,74.5,76.5,76.0,502870.0,32.285850524902344
2000-09-18,75.5,75.5,75.5,75.5,1614.0,32.07343673706055
2000-09-19,77.0,75.5,75.5,77.0,3625.0,32.71066665649414
2000-09-20,78.5,77.0,78.0,78.5,15808.0,33.34788513183594
2000-09-21,81.5,79.0,79.0,81.0,55823.0,34.4099235534668
2000-09-22,78.0,76.5,77.0,76.5,12729.0,32.498252868652344
2000-09-25,78.5,77.0,77.0,77.0,8550.0,32.71066665649414
2000-09-26,78.0,77.0,78.0,78.0,37834.0,33.13547897338867
2000-09-27,83.0,78.5,78.5,83.0,22055.0,35.25954818725586
2000-09-28,82.5,80.0,80.0,82.0,14925.0,34.83473587036133
2000-09-29,86.0,82.0,82.0,85.0,38989.0,36.10917282104492
2000-10-02,84.0,77.0,77.0,84.0,1524.0,35.68436813354492
2000-10-03,84.0,82.5,83.0,82.5,12588.0,35.047142028808594
2000-10-04,82.0,78.0,80.5,78.0,20950.0,33.13547897338867
2000-10-05,80.0,80.0,80.0,80.0,4604.0,33.985107421875
2000-10-06,81.0,80.0,80.0,81.0,1500.0,34.4099235534668
2000-10-09,80.5,79.0,80.0,80.0,10866.0,33.985107421875
2000-10-10,80.0,79.0,79.0,80.0,5200.0,33.985107421875
2000-10-11,80.0,79.0,79.0,80.0,25127.0,33.985107421875
2000-10-12,81.5,79.0,79.0,80.0,2491.0,33.985107421875
2000-10-13,80.5,80.0,80.0,80.0,11800.0,33.985107421875
2000-10-16,80.5,80.5,80.5,80.5,4600.0,34.197513580322266
2000-10-17,80.5,80.5,80.5,80.5,1600.0,34.197513580322266
2000-10-18,80.0,76.0,80.0,80.0,13556.0,33.985107421875
2000-10-19,80.5,80.0,80.0,80.0,8700.0,33.985107421875
2000-10-20,81.5,79.5,79.5,81.5,15230.0,34.62232208251953
2000-10-23,80.0,78.0,80.0,80.0,5058.0,33.985107421875
2000-10-24,80.0,79.0,79.0,80.0,6802.0,33.985107421875
2000-10-25,81.5,80.5,81.0,81.0,9400.0,34.4099235534668
2000-10-26,80.0,79.0,79.0,80.0,1468.0,33.985107421875
2000-10-27,80.0,80.0,80.0,80.0,103006.0,33.985107421875
2000-10-30,80.0,80.0,80.0,80.0,6000.0,33.985107421875
2000-11-01,79.0,77.0,77.0,77.0,3020.0,32.71066665649414
2000-11-02,76.0,75.0,75.0,76.0,3800.0,32.285850524902344
2000-11-03,75.0,75.0,75.0,75.0,920.0,31.86103630065918
2000-11-06,76.0,72.0,72.0,74.0,4032.0,31.436222076416016
2000-11-07,76.0,75.0,75.0,76.0,1000.0,32.285850524902344
2000-11-08,76.0,74.0,76.0,74.0,6834.0,31.436222076416016
2000-11-09,79.0,74.0,77.0,79.0,6029.0,33.560298919677734
2000-11-10,77.0,74.0,77.0,74.0,800.0,31.436222076416016
2000-11-13,77.0,75.5,76.0,77.0,3200.0,32.71066665649414
2000-11-14,74.0,74.0,74.0,74.0,8300.0,31.436222076416016
2000-11-15,74.0,73.5,74.0,73.5,4838.0,31.22382164001465
2000-11-16,74.0,74.0,74.0,74.0,3126.0,31.436222076416016
2000-11-17,74.0,73.5,74.0,73.5,7200.0,31.22382164001465
2000-11-20,72.5,72.0,72.5,72.0,470.0,30.586599349975586
2000-11-21,74.0,71.0,74.0,72.0,11400.0,30.586599349975586
2000-11-22,71.0,70.0,71.0,70.0,1780.0,29.736957550048828
2000-11-23,69.0,69.0,69.0,69.0,250.0,29.312152862548828
2000-11-24,70.0,69.0,69.0,70.0,9498.0,29.736957550048828
2000-11-27,69.5,69.0,69.0,69.5,6802.0,29.524568557739258
2000-11-28,69.0,69.0,69.0,69.0,6099.0,29.312152862548828
2000-11-29,69.0,65.0,69.0,67.0,24028.0,28.462533950805664
2000-11-30,67.0,65.5,65.5,67.0,2053.0,28.462533950805664
2000-12-01,67.0,64.0,64.0,67.0,3022.0,28.462533950805664
2000-12-04,67.0,65.0,65.0,67.0,600.0,28.462533950805664
2000-12-05,65.0,63.0,65.0,63.0,52810.0,26.763275146484375
2000-12-06,64.0,60.0,64.0,63.0,137120.0,26.763275146484375
2000-12-07,62.5,61.0,61.0,61.0,7813.0,25.91364288330078
2000-12-08,65.0,62.0,63.5,65.0,5400.0,27.61290168762207
2000-12-11,70.0,65.0,70.0,67.0,57348.0,28.462533950805664
2000-12-12,67.0,65.0,67.0,66.0,46752.0,28.037715911865234
2000-12-13,67.0,66.0,66.0,66.0,44260.0,28.037715911865234
2000-12-14,66.0,65.0,66.0,65.0,321600.0,27.61290168762207
2000-12-15,66.0,64.0,65.0,64.0,4200.0,27.188081741333008
2000-12-18,63.0,62.0,63.0,62.0,13400.0,26.338457107543945
2000-12-19,63.0,62.0,62.0,62.0,39746.0,26.338457107543945
2000-12-20,62.0,59.5,60.0,62.0,37400.0,26.338457107543945
2000-12-21,61.0,60.0,60.0,60.0,12552.0,25.48883056640625
2000-12-22,61.0,60.0,60.0,61.0,4850.0,25.91364288330078
2000-12-25,61.0,61.0,61.0,61.0,0.0,25.91364288330078
2000-12-26,61.0,61.0,61.0,61.0,0.0,25.91364288330078
2000-12-27,59.0,56.0,59.0,58.5,11605.0,24.85161018371582
2000-12-28,61.0,58.0,60.0,59.0,35000.0,25.064016342163086
2000-12-29,65.0,58.0,59.0,65.0,28210.0,27.61290168762207
2001-01-02,64.0,63.0,64.0,63.0,1352.0,26.763275146484375
2001-01-03,62.5,57.0,61.5,61.5,140331.0,26.126047134399414
2001-01-04,62.0,60.0,62.0,60.0,1182.0,25.48883056640625
2001-01-05,61.5,61.5,61.5,61.5,300.0,26.126047134399414
2001-01-08,59.5,59.5,59.5,59.5,600.0,25.27642250061035
2001-01-09,60.0,60.0,60.0,60.0,4000.0,25.48883056640625
2001-01-10,62.5,61.5,62.5,62.0,16200.0,26.338457107543945
2001-01-11,60.0,60.0,60.0,60.0,450.0,25.48883056640625
2001-01-12,61.0,60.5,61.0,60.5,960.0,25.70124053955078
2001-01-15,60.0,58.5,60.0,58.5,3200.0,24.85161018371582
2001-01-16,59.0,59.0,59.0,59.0,2070.0,25.064016342163086
2001-01-17,60.5,58.5,59.0,60.0,8050.0,25.48883056640625
2001-01-18,62.0,60.0,60.0,60.5,56700.0,25.70124053955078
2001-01-19,62.0,61.0,62.0,62.0,5855.0,26.338457107543945
2001-01-22,63.0,61.0,63.0,62.0,4002.0,26.338457107543945
2001-01-23,61.5,61.0,61.0,61.5,3300.0,26.126047134399414
2001-01-24,61.5,61.5,61.5,61.5,0.0,26.126047134399414
2001-01-25,61.5,61.0,61.0,61.0,21502.0,25.91364288330078
2001-01-26,61.0,61.0,61.0,61.0,0.0,25.91364288330078
2001-01-29,61.5,59.5,61.0,59.5,54478.0,25.27642250061035
2001-01-30,61.0,60.0,60.0,61.0,11528.0,25.91364288330078
2001-01-31,62.0,62.0,62.0,62.0,1300.0,26.338457107543945
2001-02-01,62.5,60.0,62.5,61.5,3653.0,26.126047134399414
2001-02-02,62.0,61.5,62.0,61.5,33350.0,26.126047134399414
2001-02-05,61.5,61.0,61.5,61.0,10300.0,25.91364288330078
2001-02-06,61.5,61.0,61.5,61.5,3820.0,26.126047134399414
2001-02-07,66.0,61.0,61.0,65.0,45280.0,27.61290168762207
2001-02-08,67.0,63.0,66.0,67.0,52557.0,28.462533950805664
2001-02-09,67.0,65.0,65.0,65.5,7700.0,27.825305938720703
2001-02-12,69.5,66.5,66.5,68.0,27300.0,28.887340545654297
2001-02-13,68.5,65.5,65.5,68.0,11800.0,28.887340545654297
2001-02-14,68.0,66.0,67.0,68.0,151475.0,28.887340545654297
2001-02-15,69.0,67.0,68.0,69.0,20842.0,29.312152862548828
2001-02-16,69.5,68.0,69.0,68.0,1785.0,28.887340545654297
2001-02-23,64.0,62.0,64.0,63.0,2149.0,26.763275146484375
2001-02-27,66.5,66.0,66.0,66.0,3180.0,28.037715911865234
2001-02-28,70.0,67.0,67.0,70.0,18206.0,29.736957550048828
2001-03-01,70.0,68.5,69.0,70.0,4700.0,29.736957550048828
2001-03-02,71.0,70.0,71.0,71.0,3500.0,30.161785125732422
2001-03-05,71.0,68.0,70.0,71.0,3600.0,30.161785125732422
2001-03-06,70.0,69.0,70.0,69.0,2000.0,29.312152862548828
2001-03-07,69.0,69.0,69.0,69.0,259.0,29.312152862548828
2001-03-08,67.5,66.5,67.5,66.5,800.0,28.250120162963867
2001-03-09,67.5,67.5,67.5,67.5,200.0,28.6749324798584
2001-03-12,67.5,65.0,67.5,65.0,7600.0,27.61290168762207
2001-03-13,65.0,63.0,64.0,65.0,48100.0,27.61290168762207
2001-03-14,65.0,65.0,65.0,65.0,0.0,27.61290168762207
2001-03-15,64.5,64.5,64.5,64.5,700.0,27.400493621826172
2001-03-16,64.5,63.0,63.0,63.0,11703.0,26.763275146484375
2001-03-19,63.0,63.0,63.0,63.0,20800.0,26.763275146484375
2001-03-20,62.0,61.0,62.0,61.0,12400.0,25.91364288330078
2001-03-21,63.0,61.5,61.5,62.0,6920.0,26.338457107543945
2001-03-22,62.5,61.0,62.0,61.0,8606.0,25.91364288330078
2001-03-23,61.0,60.0,60.0,61.0,1591.0,25.91364288330078
2001-03-26,62.0,61.5,62.0,61.5,1103.0,26.126047134399414
2001-03-27,66.0,62.5,62.5,66.0,7050.0,28.037715911865234
2001-03-30,65.0,62.5,62.5,65.0,2709.0,27.61290168762207
2001-04-03,65.0,63.0,63.0,65.0,1624.0,27.61290168762207
2001-04-04,67.0,65.0,65.0,67.0,21787.0,28.462533950805664
2001-04-05,65.0,61.0,61.5,65.0,60670.0,27.61290168762207
2001-04-06,65.0,61.5,63.0,65.0,9266.0,27.61290168762207
2001-04-09,66.5,66.5,66.5,66.5,2729.0,28.250120162963867
2001-04-10,66.5,66.5,66.5,66.5,890.0,28.250120162963867
2001-04-11,68.0,67.0,68.0,67.0,9789.0,28.462533950805664
2001-04-12,66.5,66.5,66.5,66.5,400.0,28.250120162963867
2001-04-17,65.5,63.5,63.5,65.0,15109.0,27.61290168762207
2001-04-18,66.5,65.0,65.0,66.0,10268.0,28.037715911865234
2001-04-20,62.5,62.0,62.5,62.0,6375.0,26.338457107543945
2001-04-23,62.0,60.0,61.5,62.0,3470.0,26.338457107543945
2001-04-24,62.0,60.5,62.0,60.5,400.0,25.70124053955078
2001-04-25,59.0,59.0,59.0,59.0,1887.0,25.064016342163086
2001-04-26,61.0,59.0,60.5,59.0,87292.0,25.064016342163086
2001-04-27,62.5,59.5,60.0,62.0,18869.0,26.338457107543945
2001-04-30,61.5,61.0,61.0,61.5,2684.0,26.126047134399414
2001-05-02,62.0,61.5,62.0,62.0,7200.0,26.338457107543945
2001-05-03,64.0,61.0,64.0,61.0,1700.0,25.91364288330078
2001-05-04,61.0,61.0,61.0,61.0,3513.0,25.91364288330078
2001-05-08,67.0,64.5,64.5,66.5,30600.0,28.250120162963867
2001-05-09,74.0,67.0,67.0,71.0,47525.0,30.161785125732422
2001-05-10,72.0,68.0,72.0,70.0,55100.0,29.736957550048828
2001-05-11,72.0,70.0,70.0,71.0,19665.0,30.161785125732422
2001-05-14,73.0,70.5,73.0,71.0,29574.0,30.161785125732422
2001-05-15,71.5,69.5,71.5,70.0,10304.0,29.736957550048828
2001-05-16,70.0,70.0,70.0,70.0,3130.0,29.736957550048828
2001-05-17,70.5,67.0,70.0,67.0,9232.0,28.462533950805664
2001-05-18,70.0,68.5,70.0,68.5,4474.0,29.099750518798828
2001-05-21,70.0,70.0,70.0,70.0,20505.0,29.736957550048828
2001-05-22,70.0,68.0,68.0,70.0,27420.0,29.736957550048828
2001-05-23,70.0,70.0,70.0,70.0,7000.0,29.736957550048828
2001-05-25,70.0,67.0,70.0,68.0,15782.0,28.887340545654297
2001-05-28,70.0,68.0,70.0,70.0,5822.0,29.736957550048828
2001-05-29,70.0,69.0,69.0,70.0,9340.0,29.736957550048828
2001-05-30,69.5,68.0,69.5,69.0,13710.0,29.312152862548828
2001-05-31,68.5,66.5,68.0,68.5,45900.0,29.099750518798828
2001-06-01,67.5,66.5,67.0,66.5,10399.0,28.250120162963867
2001-06-05,69.0,67.5,69.0,67.5,20000.0,28.6749324798584
