Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,82.0,77.0,81.0,77.5,20140.0,68.26045227050781
2000-01-04,80.0,75.0,79.0,78.0,12472.0,68.70084381103516
2000-01-07,77.0,71.0,71.0,77.0,10050.0,67.82006072998047
2000-01-10,78.0,75.0,78.0,76.0,11350.0,66.93927764892578
2000-01-11,77.0,75.0,75.0,75.0,5450.0,66.05850219726562
2000-01-12,83.0,75.0,75.0,80.0,61817.0,70.46239471435547
2000-01-13,82.0,77.5,82.0,78.0,28070.0,68.70084381103516
2000-01-14,80.0,78.0,80.0,78.5,12350.0,69.1412353515625
2000-01-17,82.0,77.0,82.0,77.0,27260.0,67.82006072998047
2000-01-18,78.0,75.0,76.5,75.0,21550.0,66.05850219726562
2000-01-19,76.5,74.0,76.0,75.0,14900.0,66.05850219726562
2000-01-20,77.0,74.5,75.0,76.0,12750.0,66.93927764892578
2000-01-21,76.0,74.0,75.0,75.0,19126.0,66.05850219726562
2000-01-24,75.0,73.0,74.0,74.0,19370.0,65.17771911621094
2000-01-25,75.0,71.0,75.0,72.0,8175.0,63.416160583496094
2000-01-26,75.0,72.0,72.5,74.5,15725.0,65.61811828613281
2000-01-27,76.0,74.0,75.0,74.0,14852.0,65.17771911621094
2000-01-28,74.0,72.5,74.0,73.5,17147.0,64.73733520507812
2000-01-31,72.0,70.0,72.0,72.0,7100.0,63.416160583496094
2000-02-01,73.0,71.0,73.0,71.5,10230.0,62.97577667236328
2000-02-02,73.0,71.5,72.5,71.5,11800.0,62.97577667236328
2000-02-03,73.0,71.0,72.0,73.0,16400.0,64.29693603515625
2000-02-04,114.5,71.0,72.0,114.5,279134.0,100.84931182861328
2000-02-07,145.0,106.0,125.0,120.0,312330.0,105.693603515625
2000-02-08,123.5,105.0,120.0,109.5,102995.0,96.44541931152344
2000-02-09,114.0,106.0,109.0,110.0,76225.0,96.88580322265625
2000-02-10,111.0,95.0,110.0,100.0,71235.0,88.0780029296875
2000-02-11,107.5,98.0,100.0,99.5,44865.0,87.63761138916016
2000-02-14,99.0,93.5,99.0,96.0,39284.0,84.55488586425781
2000-02-15,110.0,97.5,97.5,98.5,81175.0,86.75682830810547
2000-02-16,107.0,99.0,104.0,101.5,42118.0,89.399169921875
2000-02-17,105.0,99.5,105.0,100.0,22850.0,88.0780029296875
2000-02-18,103.5,98.0,103.5,100.0,27337.0,88.0780029296875
2000-02-21,100.0,94.0,99.0,96.5,13860.0,84.99526977539062
2000-02-22,107.0,98.0,98.0,102.0,101540.0,89.83956146240234
2000-02-23,107.0,102.0,107.0,103.0,54189.0,90.72034454345703
2000-02-24,105.0,99.5,105.0,99.5,20000.0,87.63761138916016
2000-02-25,101.0,98.0,101.0,98.5,22800.0,86.75682830810547
2000-02-28,100.0,96.5,98.5,99.5,27020.0,87.63761138916016
2000-02-29,105.0,100.0,100.0,102.5,39817.0,90.27996063232422
2000-03-01,104.5,102.0,104.5,103.0,42650.0,90.72034454345703
2000-03-02,103.5,99.5,103.5,100.5,39950.0,88.51838684082031
2000-03-03,104.0,102.0,103.0,104.0,67500.0,91.60111999511719
2000-03-06,116.0,108.0,108.0,113.0,95360.0,99.52814483642578
2000-03-07,114.0,104.0,114.0,104.5,33254.0,92.04151153564453
2000-03-08,105.5,100.0,105.5,104.0,32320.0,91.60111999511719
2000-03-09,105.0,100.5,105.0,102.0,75120.0,89.83956146240234
2000-03-10,107.5,103.0,103.0,107.5,52720.0,94.68385314941406
2000-03-14,108.0,103.0,108.0,103.5,19350.0,91.16073608398438
2000-03-15,106.5,100.5,105.0,102.5,21900.0,90.27996063232422
2000-03-16,108.0,104.0,104.0,107.0,28000.0,94.24346160888672
2000-03-17,119.0,106.0,110.0,114.0,49670.0,100.40892028808594
2000-03-20,134.0,123.0,125.0,133.5,156489.0,117.5841293334961
2000-03-21,131.5,126.5,130.0,128.0,37795.0,112.7398452758789
2000-03-22,133.5,122.0,133.0,124.5,31780.0,109.65711212158203
2000-03-23,125.0,115.0,125.0,115.0,33175.0,101.2896957397461
2000-03-24,119.0,113.0,119.0,116.5,13280.0,102.61087799072266
2000-03-27,122.0,115.0,119.0,122.0,15673.0,107.45516204833984
2000-03-28,122.0,114.0,121.5,117.5,22950.0,103.49165344238281
2000-03-29,118.0,113.0,118.0,114.5,10900.0,100.84931182861328
2000-03-30,112.0,104.0,112.0,105.0,14000.0,92.48189544677734
2000-03-31,109.0,100.0,102.0,107.0,42370.0,94.24346160888672
2000-04-03,110.0,105.0,110.0,107.0,26605.0,94.24346160888672
2000-04-04,107.5,106.0,107.0,106.0,9150.0,93.36268615722656
2000-04-05,107.0,102.0,107.0,103.0,21966.0,90.72034454345703
2000-04-06,108.0,104.0,104.0,107.5,12550.0,94.68385314941406
2000-04-07,110.0,106.5,107.5,110.0,13400.0,96.88580322265625
2000-04-10,120.0,108.0,110.0,119.5,45970.0,105.25321197509766
2000-04-11,118.0,113.0,118.0,115.0,8290.0,101.2896957397461
2000-04-12,118.0,114.0,115.0,118.0,9000.0,103.93203735351562
2000-04-13,116.0,108.0,113.0,112.5,18290.0,99.08775329589844
2000-04-14,112.5,105.0,112.0,107.0,10102.0,94.24346160888672
2000-04-17,106.0,96.0,98.0,104.0,57750.0,91.60111999511719
2000-04-18,109.0,104.0,107.0,105.5,13250.0,92.92228698730469
2000-04-19,109.0,102.5,107.0,105.0,7000.0,92.48189544677734
2000-04-20,107.5,103.0,103.0,107.5,3700.0,94.68385314941406
2000-04-25,110.0,107.0,107.5,108.0,3880.0,95.12423706054688
2000-04-26,111.0,107.0,111.0,109.5,6300.0,96.44541931152344
2000-04-27,109.0,105.0,106.0,106.5,6200.0,93.8030776977539
2000-04-28,110.0,105.5,105.5,108.0,5136.0,95.12423706054688
2000-05-02,111.0,106.0,108.0,109.0,8760.0,96.00502014160156
2000-05-03,111.0,107.0,109.0,108.0,12550.0,95.12423706054688
2000-05-04,111.0,98.0,108.0,102.0,22550.0,89.83956146240234
2000-05-05,104.0,98.0,104.0,104.0,29000.0,91.60111999511719
2000-05-08,104.0,98.0,104.0,99.0,10300.0,87.19722747802734
2000-05-10,102.0,97.0,101.0,98.0,9500.0,86.31643676757812
2000-05-11,99.0,95.0,98.0,99.0,12240.0,87.19722747802734
2000-05-12,100.0,97.0,97.0,100.0,13480.0,88.0780029296875
2000-05-15,101.5,95.5,99.5,99.0,15710.0,87.19722747802734
2000-05-16,102.5,97.0,100.5,97.0,6800.0,85.43566131591797
2000-05-17,101.0,96.5,101.0,99.0,2710.0,87.19722747802734
2000-05-18,99.5,96.0,99.0,99.0,7600.0,87.19722747802734
2000-05-19,101.0,96.0,98.0,101.0,15600.0,88.95877838134766
2000-05-22,98.0,91.0,98.0,94.5,5500.0,83.23370361328125
2000-05-23,96.5,90.0,93.0,95.0,18650.0,83.67410278320312
2000-05-24,92.0,86.0,90.5,89.5,11750.0,78.8298110961914
2000-05-25,94.0,90.0,90.0,94.0,2300.0,82.79331970214844
2000-05-26,93.0,90.0,91.0,91.0,2550.0,80.1509780883789
2000-05-29,91.0,89.0,91.0,90.0,4700.0,79.27020263671875
2000-05-31,91.0,87.0,90.0,89.0,5100.0,78.3894271850586
2000-06-02,90.0,87.0,87.0,90.0,3715.0,79.27020263671875
2000-06-05,89.0,86.0,89.0,87.0,5300.0,76.62786102294922
2000-06-06,92.0,86.0,87.0,90.0,10197.0,79.27020263671875
2000-06-07,90.0,86.0,90.0,90.0,9150.0,79.27020263671875
2000-06-08,93.5,90.0,91.0,93.0,15100.0,81.91254425048828
2000-06-09,95.0,90.0,94.0,95.0,10890.0,83.67410278320312
2000-06-13,98.0,94.0,94.0,97.0,5000.0,85.43566131591797
2000-06-14,95.5,92.0,95.5,94.0,6000.0,82.79331970214844
2000-06-15,94.0,91.0,93.0,94.0,5625.0,82.79331970214844
2000-06-16,96.0,91.5,93.0,96.0,3000.0,84.55488586425781
2000-06-20,95.0,93.0,95.0,95.0,4200.0,83.67410278320312
2000-06-21,97.0,94.0,94.0,97.0,5400.0,85.43566131591797
2000-06-22,97.0,93.0,95.0,97.0,4300.0,85.43566131591797
2000-06-26,96.0,94.0,94.0,96.0,6070.0,84.55488586425781
2000-06-27,96.0,94.0,94.0,95.0,3800.0,83.67410278320312
2000-06-28,92.5,86.0,92.5,90.0,7000.0,79.27020263671875
2000-06-29,90.0,82.0,90.0,85.0,33250.0,74.8663101196289
2000-06-30,89.5,83.0,83.5,89.5,4628.0,78.8298110961914
2000-07-03,93.5,86.5,89.5,93.5,1900.0,82.3529281616211
2000-07-04,95.5,89.5,93.0,92.0,5500.0,81.03176879882812
2000-07-05,93.5,90.0,92.0,93.5,5500.0,82.3529281616211
2000-07-06,95.5,90.5,94.0,95.0,5500.0,83.67410278320312
2000-07-10,101.5,95.0,100.0,99.0,12550.0,87.19722747802734
2000-07-11,100.0,98.0,100.0,98.0,1650.0,86.31643676757812
2000-07-12,98.0,91.5,98.0,97.0,4000.0,85.43566131591797
2000-07-13,92.0,91.0,92.0,91.0,6850.0,80.1509780883789
2000-07-14,91.0,88.0,91.0,89.0,7850.0,78.3894271850586
2000-07-17,88.0,85.0,88.0,86.0,4700.0,75.74708557128906
2000-07-18,87.5,86.0,86.0,87.5,3200.0,77.06824493408203
2000-07-19,87.5,86.0,86.0,87.5,350.0,77.06824493408203
2000-07-20,91.0,86.0,86.0,89.0,2900.0,78.3894271850586
2000-07-21,89.5,86.0,89.0,89.0,1200.0,78.3894271850586
2000-07-25,87.0,85.0,86.0,85.5,6950.0,75.30669403076172
2000-07-26,85.0,82.0,84.5,85.0,6550.0,74.8663101196289
2000-07-28,87.0,78.5,79.5,87.0,11200.0,76.62786102294922
2000-07-31,96.0,88.0,88.0,90.0,23050.0,79.27020263671875
2000-08-01,91.0,86.5,91.0,88.5,4750.0,77.94903564453125
2000-08-02,88.0,83.0,88.0,85.0,4800.0,74.8663101196289
2000-08-03,84.5,80.0,84.5,83.0,4700.0,73.104736328125
2000-08-04,83.0,82.0,83.0,83.0,5400.0,73.104736328125
2000-08-07,84.5,80.5,83.0,81.5,6100.0,71.78357696533203
2000-08-08,85.0,82.0,82.0,85.0,1500.0,74.8663101196289
2000-08-09,87.0,85.0,85.0,87.0,1050.0,76.62786102294922
2000-08-10,85.0,84.0,84.5,84.5,3200.0,74.42591094970703
2000-08-11,87.0,83.0,85.0,85.5,3500.0,75.30669403076172
2000-08-14,92.0,87.0,87.0,92.0,15725.0,81.03176879882812
2000-08-15,92.5,86.5,92.5,90.5,2500.0,79.71058654785156
2000-08-16,90.0,90.0,90.0,90.0,7100.0,79.27020263671875
2000-08-17,90.0,88.0,90.0,88.0,2100.0,77.5086441040039
2000-08-18,90.0,88.0,88.0,88.0,3000.0,77.5086441040039
2000-08-21,92.0,90.0,90.0,91.0,5250.0,80.1509780883789
2000-08-22,92.5,90.0,92.0,91.5,4825.0,80.59136962890625
2000-08-23,92.0,90.0,92.0,90.0,8550.0,79.27020263671875
2000-08-24,90.5,88.0,90.0,90.5,3260.0,79.71058654785156
2000-08-25,91.0,84.5,90.0,91.0,2420.0,80.1509780883789
2000-08-28,89.5,87.0,87.0,89.5,1500.0,78.8298110961914
2000-08-29,89.5,88.0,88.0,88.0,3000.0,77.5086441040039
2000-08-30,89.0,86.0,89.0,87.5,6800.0,77.06824493408203
2000-08-31,88.5,85.0,86.5,88.5,7750.0,77.94903564453125
2000-09-01,88.0,85.0,86.0,88.0,4600.0,77.5086441040039
2000-09-04,89.5,85.0,85.0,89.0,5550.0,78.3894271850586
2000-09-05,90.0,88.0,88.0,89.5,19100.0,78.8298110961914
2000-09-06,109.0,89.0,89.0,107.5,151202.0,94.68385314941406
2000-09-07,107.5,101.0,107.5,104.5,79290.0,92.04151153564453
2000-09-08,107.0,104.0,105.0,105.0,32672.0,92.48189544677734
2000-09-11,109.5,103.0,103.0,108.0,25475.0,95.12423706054688
2000-09-12,108.0,103.5,108.0,108.0,34950.0,95.12423706054688
2000-09-13,106.0,104.0,105.5,106.0,6850.0,93.36268615722656
2000-09-14,107.5,100.0,104.0,107.5,10800.0,94.68385314941406
2000-09-15,108.5,105.5,108.0,107.5,9890.0,94.68385314941406
2000-09-18,114.5,108.0,108.0,114.0,38100.0,100.40892028808594
2000-09-19,115.0,113.0,114.5,115.0,43775.0,101.2896957397461
2000-09-20,116.0,113.0,115.0,113.0,20472.0,99.52814483642578
2000-09-21,117.0,107.0,112.0,115.0,43800.0,101.2896957397461
2000-09-22,117.5,109.0,114.0,116.0,28650.0,102.17047882080078
2000-09-25,116.0,112.5,116.0,114.5,15950.0,100.84931182861328
2000-09-26,112.0,110.0,112.0,112.0,5405.0,98.64735412597656
2000-09-27,113.0,110.0,110.0,112.0,8517.0,98.64735412597656
2000-09-28,112.0,108.0,112.0,108.0,14550.0,95.12423706054688
2000-09-29,110.0,106.5,110.0,109.0,6820.0,96.00502014160156
2000-10-02,111.5,106.0,109.0,110.5,7900.0,97.3261947631836
2000-10-03,113.0,110.0,112.0,110.0,2550.0,96.88580322265625
2000-10-04,108.0,106.5,107.0,106.5,6600.0,93.8030776977539
2000-10-05,107.0,105.0,107.0,105.0,3040.0,92.48189544677734
2000-10-06,105.0,101.5,104.5,102.5,10850.0,90.27996063232422
2000-10-09,107.5,102.0,102.0,104.0,8905.0,91.60111999511719
2000-10-10,102.0,99.0,102.0,102.0,3180.0,89.83956146240234
2000-10-11,100.0,95.0,100.0,95.5,7015.0,84.11449432373047
2000-10-12,100.0,94.5,95.0,98.5,11750.0,86.75682830810547
2000-10-13,97.0,88.0,97.0,94.5,5700.0,83.23370361328125
2000-10-16,99.0,95.5,98.0,96.0,5400.0,84.55488586425781
2000-10-17,97.5,95.0,96.0,97.5,2500.0,85.87604522705078
2000-10-18,95.0,87.0,95.0,95.0,6000.0,83.67410278320312
2000-10-19,96.0,95.0,95.0,96.0,2700.0,84.55488586425781
2000-10-20,95.5,87.0,95.5,93.5,9700.0,82.3529281616211
2000-10-23,92.0,90.0,90.0,90.0,5200.0,79.27020263671875
2000-10-24,96.5,90.0,91.0,96.5,8950.0,84.99526977539062
2000-10-25,97.0,91.0,97.0,95.5,5100.0,84.11449432373047
2000-10-26,95.0,91.0,95.0,92.0,2900.0,81.03176879882812
2000-10-27,92.0,90.0,92.0,90.0,4500.0,79.27020263671875
2000-10-30,93.0,87.0,91.0,90.0,8200.0,79.27020263671875
2000-11-01,96.0,92.0,95.0,95.5,8100.0,84.11449432373047
2000-11-02,94.0,91.5,94.0,94.0,2328.0,82.79331970214844
2000-11-03,95.0,92.0,94.0,93.5,13900.0,82.3529281616211
2000-11-06,93.5,91.5,93.5,91.5,2500.0,80.59136962890625
2000-11-07,91.5,90.0,91.5,91.0,8900.0,80.1509780883789
2000-11-08,91.5,88.5,91.0,91.5,5180.0,80.59136962890625
2000-11-09,90.0,88.0,90.0,90.0,5200.0,79.27020263671875
2000-11-10,89.0,87.0,89.0,89.0,2600.0,78.3894271850586
2000-11-13,86.0,81.5,86.0,84.0,8400.0,73.98551177978516
2000-11-14,90.0,85.0,85.0,90.0,5600.0,79.27020263671875
2000-11-15,90.0,87.0,90.0,89.5,12650.0,78.8298110961914
2000-11-16,89.0,85.0,89.0,88.0,9600.0,77.5086441040039
2000-11-17,87.5,86.0,87.0,87.5,1450.0,77.06824493408203
2000-11-20,88.0,86.0,87.0,87.0,3000.0,76.62786102294922
2000-11-21,89.5,85.5,86.5,89.5,5100.0,78.8298110961914
2000-11-22,89.5,83.5,89.5,85.0,7000.0,74.8663101196289
2000-11-23,85.0,80.5,85.0,82.0,10000.0,72.22396087646484
2000-11-24,87.0,82.0,83.0,87.0,9390.0,76.62786102294922
2000-11-27,87.0,84.0,84.0,87.0,1400.0,76.62786102294922
2000-11-28,86.5,83.0,83.0,85.0,5620.0,74.8663101196289
2000-11-29,85.0,84.0,84.0,84.5,5600.0,74.42591094970703
2000-11-30,84.0,81.0,82.0,82.0,3600.0,72.22396087646484
2000-12-01,84.0,81.5,81.5,83.5,3750.0,73.54512786865234
2000-12-04,83.5,79.5,83.5,80.0,7850.0,70.46239471435547
2000-12-05,81.0,77.5,80.0,80.5,19700.0,70.90278625488281
2000-12-06,83.0,79.5,82.0,83.0,15300.0,73.104736328125
2000-12-07,87.5,81.0,81.0,87.0,15400.0,76.62786102294922
2000-12-08,86.0,83.0,86.0,85.0,7700.0,74.8663101196289
2000-12-11,84.0,81.0,83.0,83.5,13250.0,73.54512786865234
2000-12-12,85.0,83.0,83.5,84.0,12300.0,73.98551177978516
2000-12-13,85.0,81.5,83.5,81.5,13310.0,71.78357696533203
2000-12-14,82.0,78.0,81.0,78.0,8250.0,68.70084381103516
2000-12-15,78.0,70.0,78.0,74.0,22775.0,65.17771911621094
2000-12-18,75.0,64.0,75.0,64.0,27450.0,56.36992263793945
2000-12-19,78.0,66.0,66.0,78.0,58430.0,68.70084381103516
2000-12-20,77.0,71.0,76.5,72.5,34630.0,63.85655212402344
