Date,High,Low,Open,Close,Volume,Adj Close
2017-04-10,100.0,80.0,100.0,94.0,228062.0,88.50946044921875
2017-04-11,96.25,89.5,95.0,91.0,80228.0,85.68468475341797
2017-04-12,93.5,89.0,91.75,91.5,40722.0,86.15548706054688
2017-04-13,91.5,89.0,91.5,89.5,13656.0,84.27230834960938
2017-04-18,91.0,87.25,90.5,88.25,41690.0,83.0953140258789
2017-04-19,89.5,87.0,88.25,89.5,16082.0,84.27230834960938
2017-04-20,90.0,88.75,89.5,89.0,14996.0,83.80150604248047
2017-04-21,91.5,88.75,89.25,90.0,24074.0,84.74309539794922
2017-04-24,92.0,89.0,91.0,89.75,8784.0,84.50769805908203
2017-04-25,90.5,88.5,90.0,90.0,19438.0,84.74309539794922
2017-04-26,92.0,89.0,90.5,92.0,16676.0,86.62627410888672
2017-04-27,93.5,91.5,92.0,93.5,17582.0,88.03866577148438
2017-04-28,93.75,92.5,93.0,93.5,51864.0,88.03866577148438
2017-05-02,94.0,91.5,93.5,93.5,190455.0,88.03866577148438
2017-05-03,94.0,92.5,94.0,92.5,15475.0,87.09707641601562
2017-05-04,93.5,90.25,93.0,91.75,3797.0,86.39087677001953
2017-05-05,93.5,91.0,91.0,93.5,5624.0,88.03866577148438
2017-05-08,93.75,90.25,93.75,93.0,12262.0,87.56787109375
2017-05-09,92.0,89.25,89.25,91.5,19792.0,86.15548706054688
2017-05-10,93.0,91.75,92.0,92.0,11889.0,86.62627410888672
2017-05-11,92.75,90.25,92.75,91.25,17018.0,85.92008972167969
2017-05-12,90.25,88.0,89.0,88.75,12423.0,83.56610870361328
2017-05-15,90.0,88.75,90.0,89.0,3313.0,83.80150604248047
2017-05-16,88.5,85.0,88.0,85.25,14061.0,80.27054595947266
2017-05-17,86.0,84.5,85.75,85.75,22072.0,80.74134063720703
2017-05-18,85.5,84.25,85.0,84.25,22704.0,79.3289566040039
2017-05-19,84.75,83.0,84.0,83.25,25793.0,78.38736724853516
2017-05-22,84.75,83.75,83.75,84.25,13743.0,79.3289566040039
2017-05-23,84.25,83.0,84.25,83.25,12315.0,78.38736724853516
2017-05-24,84.5,82.5,82.5,83.0,2364.0,78.15196990966797
2017-05-26,87.75,84.0,84.25,86.25,11910.0,81.2121353149414
2017-05-29,87.75,84.5,85.0,86.75,13757.0,81.68292999267578
2017-05-30,90.0,87.0,87.75,89.25,42674.0,84.03691101074219
2017-05-31,89.0,85.0,89.0,87.0,6606.0,81.91832733154297
2017-06-01,87.75,85.25,87.0,86.25,15590.0,81.2121353149414
2017-06-02,86.75,85.75,86.25,86.75,9687.0,81.68292999267578
2017-06-05,86.0,85.0,86.0,86.0,6217.0,80.97673797607422
2017-06-06,86.0,86.0,86.0,86.0,0.0,80.97673797607422
2017-06-07,86.0,85.0,86.0,85.0,10696.0,80.03514862060547
2017-06-08,86.0,85.0,85.25,85.0,5766.0,80.03514862060547
2017-06-09,85.5,85.0,85.0,85.5,1177.0,80.50594329833984
2017-06-12,86.0,84.25,86.0,84.25,1978.0,79.3289566040039
2017-06-13,86.5,85.0,85.0,86.5,23017.0,81.4475326538086
2017-06-14,86.75,85.0,86.0,85.25,3661.0,80.27054595947266
2017-06-15,85.25,82.75,84.5,83.25,2001.0,78.38736724853516
2017-06-16,85.0,83.5,83.5,84.0,2016.0,79.09355926513672
2017-06-19,85.5,82.75,83.25,83.25,10626.0,78.38736724853516
2017-06-20,88.0,82.5,84.0,86.5,29729.0,81.4475326538086
2017-06-21,86.5,83.0,86.5,86.0,4461.0,80.97673797607422
2017-06-22,86.0,85.25,86.0,85.25,645.0,80.27054595947266
2017-06-23,85.25,85.25,85.25,85.25,0.0,80.27054595947266
2017-06-26,86.0,83.25,86.0,83.5,13037.0,78.62275695800781
2017-06-27,84.5,82.25,82.25,83.25,2639.0,78.38736724853516
2017-06-28,83.5,82.0,83.25,82.0,4681.0,77.21038055419922
2017-06-29,82.25,82.0,82.25,82.0,2642.0,77.21038055419922
2017-06-30,82.0,81.25,82.0,82.0,2618.0,77.21038055419922
2017-07-03,82.5,81.5,82.25,81.5,661.0,76.73957824707031
2017-07-04,82.0,81.0,81.5,81.0,1210.0,76.26879119873047
2017-07-05,81.0,78.5,81.0,78.5,14895.0,73.91481018066406
2017-07-06,79.25,78.5,79.25,79.0,3504.0,74.38561248779297
2017-07-07,80.0,79.0,79.0,80.0,595.0,75.32720184326172
2017-07-10,80.0,78.5,80.0,79.25,1215.0,74.62100982666016
