Date,High,Low,Open,Close,Volume,Adj Close
2014-06-26,362.0,320.0,320.0,358.0,429.0,339.16314697265625
2014-06-27,364.5,345.0,358.0,364.5,2122.0,345.3211669921875
2014-06-30,360.0,358.0,358.0,360.0,875.0,341.05792236328125
2014-07-01,360.0,360.0,360.0,360.0,30.0,341.05792236328125
2014-07-02,362.0,362.0,362.0,362.0,100.0,342.9527282714844
2014-07-03,388.0,369.0,369.0,388.0,825.0,367.58465576171875
2014-07-04,405.0,388.0,388.0,405.0,1370.0,383.6901550292969
2014-07-07,405.0,380.0,405.0,380.0,236.0,360.005615234375
2014-07-08,393.0,373.0,373.0,391.5,1026.0,370.9005126953125
2014-07-09,391.0,378.5,391.0,378.5,676.0,358.58453369140625
2014-07-10,380.0,377.5,377.5,377.5,306.0,357.6371765136719
2014-07-11,402.0,400.0,401.5,402.0,334.0,380.8480224609375
2014-07-14,388.0,375.5,375.5,378.0,81.0,358.11083984375
2014-07-15,382.5,378.0,378.0,380.0,519.0,360.005615234375
2014-07-16,390.0,369.0,369.0,369.0,620.0,349.5843811035156
2014-07-17,375.5,369.0,375.5,370.0,279.0,350.53179931640625
2014-07-18,379.0,370.0,370.0,379.0,100.0,359.0582275390625
2014-07-21,375.5,374.0,374.0,374.0,136.0,354.3212890625
2014-07-22,369.5,369.5,369.5,369.5,50.0,350.0580749511719
2014-07-23,389.0,370.0,370.0,371.0,45.0,351.4792175292969
2014-07-24,384.0,380.0,384.0,380.0,45.0,360.005615234375
2014-07-25,371.5,370.0,370.5,371.5,426.0,351.9528503417969
2014-07-28,371.0,371.0,371.0,371.0,142.0,351.4792175292969
2014-07-29,377.5,373.5,377.0,376.5,168.0,356.68975830078125
2014-07-30,378.0,375.0,376.5,378.0,433.0,358.11083984375
2014-07-31,377.5,377.5,377.5,377.5,80.0,357.6371765136719
2014-08-01,376.5,363.0,376.5,363.0,1897.0,343.90008544921875
2014-08-04,382.5,370.5,375.5,370.5,160.0,351.00543212890625
2014-08-05,371.0,360.0,371.0,362.0,605.0,342.9527282714844
2014-08-06,368.5,360.0,362.0,368.5,830.0,349.1106872558594
2014-08-07,370.0,360.0,360.0,360.0,571.0,341.05792236328125
2014-08-08,359.0,327.5,359.0,355.0,2170.0,336.3210144042969
2014-08-11,355.0,350.0,355.0,351.0,1442.0,332.5315246582031
2014-08-12,351.0,348.0,350.0,351.0,1011.0,332.5315246582031
2014-08-13,368.5,335.0,355.0,352.0,2423.0,333.4788513183594
2014-08-14,332.5,300.0,332.5,325.0,7795.0,307.8995361328125
2014-08-15,330.0,322.0,326.0,325.0,3533.0,307.8995361328125
2014-08-18,323.5,306.0,321.0,312.5,9459.0,296.0572509765625
2014-08-19,322.5,310.5,310.5,318.0,282062.0,301.267822265625
2014-08-20,321.0,310.5,310.5,321.0,549.0,304.1100158691406
2014-08-21,321.0,312.0,314.0,321.0,2870.0,304.1100158691406
2014-08-22,323.0,317.0,317.0,323.0,490.0,306.0047607421875
2014-08-25,328.5,320.0,320.0,328.5,728.0,311.2153625488281
2014-08-26,335.0,330.0,330.0,335.0,1806.0,317.37335205078125
2014-08-27,365.0,340.0,344.0,365.0,2483.0,345.7948913574219
2014-08-28,365.0,350.0,365.0,355.0,3276.0,336.3210144042969
2014-08-29,360.0,340.0,355.0,340.0,497.0,322.1103210449219
2014-09-01,350.0,347.5,350.0,347.5,362.0,329.21563720703125
2014-09-02,348.0,339.5,348.0,342.0,263.0,324.00506591796875
2014-09-03,350.0,344.0,345.0,349.0,263.0,330.63671875
2014-09-04,349.5,343.0,349.5,345.0,550.0,326.8471984863281
2014-09-05,353.5,349.0,349.0,349.0,15890.0,330.63671875
2014-09-08,348.0,322.0,345.0,340.0,690.0,322.1103210449219
2014-09-09,345.0,336.0,339.5,340.0,1952.0,322.1103210449219
2014-09-10,347.0,330.0,340.0,340.0,31166.0,322.1103210449219
2014-09-11,345.0,340.0,340.0,345.0,639.0,326.8471984863281
2014-09-12,344.0,340.0,341.0,344.0,1078.0,325.89984130859375
2014-09-15,343.0,340.0,343.0,340.0,925.0,322.1103210449219
2014-09-16,344.0,340.0,344.0,340.0,1074.0,322.1103210449219
2014-09-17,342.0,340.0,342.0,341.0,1046.0,323.05767822265625
2014-09-18,342.0,340.0,340.0,340.0,301.0,322.1103210449219
2014-09-19,340.0,340.0,340.0,340.0,1773.0,322.1103210449219
2014-09-22,340.5,331.0,331.0,331.0,9687.0,313.5838317871094
2014-09-23,335.0,332.5,332.5,335.0,232.0,317.37335205078125
2014-09-24,332.0,325.0,332.0,330.0,1368.0,312.6364440917969
2014-09-25,333.5,332.5,332.5,333.5,3438.0,315.9522705078125
2014-09-26,330.0,330.0,330.0,330.0,43.0,312.6364440917969
2014-09-29,330.0,307.0,330.0,319.0,1363.0,302.2152099609375
2014-09-30,319.0,318.0,318.5,318.0,1361.0,301.267822265625
2014-10-01,318.0,315.0,318.0,317.0,451.0,300.3204650878906
2014-10-02,317.0,314.0,317.0,315.0,2178.0,298.4256896972656
2014-10-03,320.0,316.0,316.0,320.0,530.0,303.1626281738281
2014-10-06,329.5,318.0,318.0,320.0,8346.0,303.1626281738281
2014-10-07,322.0,318.0,318.0,320.0,10777.0,303.1626281738281
2014-10-08,329.5,316.0,329.5,316.0,538.0,299.373046875
2014-10-09,319.0,315.0,319.0,315.0,228.0,298.4256896972656
2014-10-10,315.0,306.0,312.0,306.0,1775.0,289.8992919921875
2014-10-13,306.0,300.0,300.0,305.0,1047.0,288.951904296875
2014-10-14,313.5,300.0,300.0,313.0,744.0,296.5309143066406
2014-10-15,314.25,310.0,314.25,310.0,17165.0,293.688720703125
2014-10-16,310.0,300.0,310.0,300.0,2314.0,284.2149353027344
2014-10-17,311.0,300.5,310.0,306.0,910.0,289.8992919921875
2014-10-20,310.0,303.0,310.0,303.0,1671.0,287.05712890625
2014-10-21,309.5,303.0,309.0,309.0,1400.0,292.7413635253906
2014-10-22,310.0,306.0,306.0,306.0,1041.0,289.8992919921875
2014-10-23,309.0,306.0,306.0,306.0,1668.0,289.8992919921875
2014-10-24,305.0,303.0,305.0,303.0,1719.0,287.05712890625
2014-10-27,305.0,290.5,305.0,300.0,1539.0,284.2149353027344
2014-10-28,305.0,294.0,300.0,305.0,39675.0,288.951904296875
2014-10-29,332.5,310.0,310.0,332.5,1270.0,315.0048828125
2014-10-30,339.0,332.5,332.5,339.0,1288.0,321.1628723144531
2014-10-31,330.0,329.0,330.0,329.0,160.0,311.6890563964844
2014-11-03,328.0,315.0,322.0,328.0,1407.0,310.74169921875
2014-11-04,360.0,345.0,345.0,350.0,4528.0,331.5841369628906
2014-11-05,370.0,351.0,351.0,363.0,3534.0,343.90008544921875
2014-11-06,360.0,354.0,360.0,354.0,632.0,335.3736267089844
2014-11-07,357.0,342.5,352.0,354.0,1155.0,335.3736267089844
2014-11-10,367.5,361.0,361.0,364.0,5963.0,344.84747314453125
2014-11-11,369.0,364.0,368.0,364.0,3464.0,344.84747314453125
2014-11-12,369.5,361.5,369.5,364.0,1470.0,344.84747314453125
2014-11-13,371.0,365.0,369.0,365.5,2728.0,346.2685546875
2014-11-14,365.0,349.5,365.0,364.5,876.0,345.3211669921875
2014-11-17,379.0,369.5,379.0,374.5,1501.0,354.7950134277344
2014-11-18,380.0,373.5,374.5,376.5,3971.0,356.68975830078125
2014-11-19,379.0,368.0,379.0,375.0,682.0,355.2686767578125
2014-11-20,369.0,368.0,369.0,369.0,903.0,349.5843811035156
2014-11-21,377.0,365.0,370.0,374.5,2018.0,354.7950134277344
2014-11-24,374.5,366.5,374.5,367.0,1292.0,347.6896057128906
2014-11-25,366.5,353.0,364.0,365.0,22705.0,345.7948913574219
2014-11-26,364.0,354.0,364.0,355.0,1805.0,336.3210144042969
2014-11-27,357.0,350.0,355.0,356.0,1324.0,337.2684020996094
2014-11-28,359.5,350.0,356.0,353.0,1014.0,334.4262390136719
2014-12-01,355.0,353.0,353.0,353.0,320.0,334.4262390136719
2014-12-02,351.5,346.0,346.5,346.0,644.0,327.7945556640625
2014-12-03,354.5,340.5,354.5,344.0,2459.0,325.89984130859375
2014-12-04,342.5,337.5,340.0,340.5,5520.0,322.5839538574219
2014-12-05,347.0,340.0,343.5,340.0,3674.0,322.1103210449219
2014-12-08,354.5,340.0,340.0,354.5,1539.0,335.84735107421875
2014-12-09,352.0,346.5,352.0,350.0,2746.0,331.5841369628906
2014-12-10,356.0,351.0,351.0,356.0,4632.0,337.2684020996094
2014-12-11,361.5,354.5,355.0,361.5,10834.0,342.4790344238281
2014-12-12,361.0,355.5,361.0,356.0,1480.0,337.2684020996094
2014-12-15,358.0,355.0,357.5,355.0,2351.0,336.3210144042969
2014-12-16,356.0,355.0,355.5,355.0,665.0,336.3210144042969
2014-12-17,355.5,344.5,352.5,344.5,1885.0,326.37347412109375
2014-12-18,352.0,345.0,345.0,351.5,271.0,333.00518798828125
2014-12-19,359.0,350.0,350.0,358.0,6822.0,339.16314697265625
2014-12-22,360.0,356.0,356.0,358.0,1063.0,339.16314697265625
2014-12-23,356.0,351.5,356.0,354.0,972.0,335.3736267089844
2014-12-29,358.5,353.5,354.0,358.5,1511.0,339.63690185546875
2014-12-30,360.0,356.0,358.5,360.0,2708.0,341.05792236328125
2015-01-02,352.0,350.0,351.5,352.0,265.0,333.4788513183594
2015-01-05,360.0,354.0,354.0,360.0,169.0,341.05792236328125
2015-01-07,359.5,350.0,359.5,350.0,963.0,331.5841369628906
2015-01-08,356.0,350.0,356.0,355.5,230.0,336.7947692871094
2015-01-09,354.5,346.5,354.5,347.0,394.0,328.741943359375
2015-01-12,355.0,346.5,346.5,354.0,1116.0,335.3736267089844
2015-01-13,360.0,350.0,350.0,359.0,8419.0,340.1105651855469
2015-01-14,380.5,370.0,370.0,379.0,7587.0,359.0582275390625
2015-01-15,378.0,373.5,378.0,377.0,3130.0,357.1634216308594
2015-01-16,378.5,374.0,376.0,378.0,2160.0,358.11083984375
2015-01-19,380.0,375.0,379.0,379.0,2995.0,359.0582275390625
2015-01-20,416.0,380.0,382.5,416.0,5863.0,394.1114196777344
2015-01-21,415.0,394.5,415.0,406.0,11935.0,384.6375732421875
2015-01-22,414.5,410.0,414.5,413.0,1091.0,391.269287109375
2015-01-23,413.0,409.0,410.0,409.0,1589.0,387.479736328125
2015-01-26,411.0,408.0,409.0,409.0,1262.0,387.479736328125
2015-01-27,412.0,405.0,409.0,406.0,2447.0,384.6375732421875
2015-01-28,411.0,400.0,405.0,400.0,1428.0,378.9532775878906
2015-01-29,410.0,401.0,401.5,408.0,295.0,386.5323181152344
2015-01-30,410.0,401.0,409.0,409.0,2389.0,387.479736328125
2015-02-02,412.0,409.5,412.0,410.0,441.0,388.4271545410156
2015-02-03,410.0,400.0,410.0,402.5,1401.0,381.32171630859375
2015-02-04,408.0,405.0,408.0,405.0,1335.0,383.6901550292969
2015-02-05,405.0,400.5,400.5,405.0,720.0,383.6901550292969
2015-02-06,405.0,403.0,405.0,403.0,40434.0,381.7954406738281
2015-02-09,405.0,397.5,403.0,400.0,2157.0,378.9532775878906
2015-02-10,406.0,394.5,400.0,406.0,1560.0,384.6375732421875
2015-02-11,412.5,406.0,408.0,412.0,2237.0,390.3218688964844
2015-02-12,446.5,410.0,414.5,439.0,2475.0,415.9012451171875
2015-02-13,475.0,434.0,435.0,475.0,3980.0,450.0069885253906
2015-02-16,474.0,450.0,474.0,454.5,1927.0,430.5856628417969
2015-02-17,455.0,446.0,454.5,447.0,1405.0,423.4802551269531
2015-02-18,442.0,434.0,442.0,439.0,1391.0,415.9012451171875
2015-02-19,442.0,382.0,439.0,413.0,9505.0,391.269287109375
2015-02-20,413.0,407.0,413.0,410.0,3157.0,388.4271545410156
2015-02-23,410.0,401.0,401.0,405.0,1485.0,383.6901550292969
2015-02-24,416.5,401.0,405.0,405.5,2051.0,384.16387939453125
2015-02-25,406.0,400.5,405.5,405.0,1337.0,383.6901550292969
2015-02-26,402.0,390.0,400.5,394.0,4792.0,373.26898193359375
2015-02-27,397.5,385.0,394.0,389.0,1355.0,368.53204345703125
2015-03-02,394.5,384.0,390.0,389.0,7917.0,368.53204345703125
2015-03-03,396.0,389.0,389.0,390.0,3779.0,369.4794616699219
2015-03-04,415.0,390.0,390.0,395.0,1045.0,374.21636962890625
2015-03-05,395.0,386.5,390.0,391.5,2682.0,370.9005126953125
2015-03-06,395.0,391.0,391.5,391.5,303.0,370.9005126953125
2015-03-09,394.0,390.0,394.0,390.0,418.0,369.4794616699219
2015-03-10,392.0,389.5,390.0,390.0,2605.0,369.4794616699219
2015-03-11,390.0,388.5,390.0,390.0,695.0,369.4794616699219
2015-03-12,388.0,384.0,385.0,387.0,609.0,366.6372985839844
2015-03-13,390.0,385.0,387.0,390.0,1219.0,369.4794616699219
2015-03-16,390.0,386.0,390.0,386.0,1470.0,365.68988037109375
2015-03-17,392.0,386.0,386.0,386.0,946.0,365.68988037109375
2015-03-18,386.0,377.0,386.0,385.0,2524.0,364.7425231933594
2015-03-19,385.0,379.0,385.0,385.0,964.0,364.7425231933594
2015-03-20,385.0,375.0,385.0,375.0,1684.0,355.2686767578125
2015-03-23,370.0,363.0,370.0,367.5,3263.0,348.16326904296875
2015-03-24,367.5,363.0,367.0,366.5,3774.0,347.2159423828125
2015-03-25,367.5,363.0,367.5,367.0,698.0,347.6896057128906
2015-03-26,363.0,355.0,363.0,360.0,1548.0,341.05792236328125
2015-03-27,368.0,358.0,358.0,367.0,1878.0,347.6896057128906
2015-03-30,402.5,386.0,386.0,400.0,7601.0,378.9532775878906
2015-03-31,420.0,402.5,403.0,418.0,3479.0,396.00616455078125
2015-04-01,420.0,406.0,420.0,414.0,2352.0,392.2166442871094
2015-04-02,424.0,414.5,418.0,417.0,2194.0,395.0588073730469
2015-04-07,428.0,420.0,420.0,427.5,3900.0,405.0063171386719
2015-04-08,429.0,410.0,427.5,428.0,2245.0,405.4799499511719
2015-04-09,430.0,429.0,429.0,430.0,1351.0,407.374755859375
2015-04-10,428.5,415.5,418.0,419.0,1036.0,396.95355224609375
2015-04-13,429.0,420.0,420.0,428.0,3628.0,405.4799499511719
2015-04-14,429.0,417.0,427.5,428.5,1517.0,405.9537353515625
2015-04-15,428.0,427.0,427.0,428.0,896.0,405.4799499511719
2015-04-16,427.5,426.0,427.5,426.0,145.0,403.585205078125
2015-04-17,422.0,416.5,419.0,416.5,710.0,394.5851135253906
2015-04-20,416.5,410.0,416.0,410.0,420.0,388.4271545410156
2015-04-21,413.0,405.0,406.5,413.0,3598.0,391.269287109375
2015-04-22,425.0,414.0,425.0,422.0,65.0,399.7956848144531
2015-04-23,422.0,415.0,422.0,422.0,1185.0,399.7956848144531
2015-04-24,422.0,406.5,422.0,410.0,699.0,388.4271545410156
2015-04-27,421.0,410.0,411.0,410.0,1097.0,388.4271545410156
2015-04-28,415.0,405.5,410.5,405.5,1889.0,384.16387939453125
2015-04-29,406.5,394.0,406.0,394.0,1076.0,373.26898193359375
2015-04-30,395.0,394.0,394.0,395.0,1298.0,374.21636962890625
2015-05-04,420.0,395.0,395.0,405.0,930.0,383.6901550292969
2015-05-05,403.0,370.0,390.0,376.0,3883.0,356.216064453125
2015-05-06,375.0,365.0,375.0,371.0,4027.0,351.4792175292969
2015-05-07,371.0,361.0,369.0,367.0,1350.0,351.47918701171875
2015-05-08,374.5,362.0,367.0,374.5,3525.0,358.6619567871094
2015-05-11,373.5,367.0,370.0,370.0,1783.0,354.352294921875
2015-05-12,380.0,367.0,370.0,380.0,477.0,363.9293518066406
2015-05-13,380.5,375.0,375.0,377.0,1313.0,361.05621337890625
2015-05-15,376.0,374.0,376.0,374.0,1210.0,358.18310546875
2015-05-18,387.0,374.5,374.5,387.0,1449.0,370.6333312988281
2015-05-19,400.0,375.0,389.5,380.5,2135.0,364.4082336425781
2015-05-20,395.5,385.0,394.0,385.0,2085.0,368.7179260253906
2015-05-21,385.0,385.0,385.0,385.0,0.0,368.7179260253906
2015-05-22,385.0,382.0,382.0,383.0,725.0,366.802490234375
2015-05-25,399.5,385.0,385.0,386.0,662.0,369.6756286621094
2015-05-26,395.0,385.0,385.0,385.0,436.0,368.7179260253906
2015-05-27,385.5,385.0,385.0,385.0,873.0,368.7179260253906
2015-05-28,386.0,378.0,385.0,379.0,4597.0,362.9716491699219
2015-05-29,383.0,380.0,383.0,381.0,374.0,364.8871154785156
2015-06-01,384.0,374.5,375.0,380.0,649.0,363.9293518066406
2015-06-02,384.0,375.5,384.0,380.0,123.0,363.9293518066406
2015-06-03,379.5,374.5,374.5,379.5,333.0,363.45050048828125
2015-06-04,380.0,365.5,380.0,367.0,1097.0,351.47918701171875
2015-06-05,375.0,363.5,366.0,373.5,476.0,357.7042541503906
2015-06-08,370.0,358.5,370.0,358.5,2810.0,343.338623046875
2015-06-09,358.5,353.5,353.5,354.0,3648.0,339.0289611816406
2015-06-10,370.0,354.0,354.5,360.0,802.0,344.77520751953125
2015-06-11,374.5,366.0,374.5,366.0,116.0,350.5213928222656
2015-06-12,366.0,359.0,366.0,359.0,458.0,343.8174743652344
2015-06-15,359.0,350.0,359.0,352.0,615.0,337.113525390625
2015-06-16,351.0,333.0,350.0,347.5,940.0,332.8038330078125
2015-06-17,360.0,350.0,350.0,350.5,250.0,335.67694091796875
2015-06-18,350.5,344.0,350.5,350.0,1327.0,335.1981201171875
2015-06-22,364.0,350.0,359.5,364.0,648.0,348.60601806640625
2015-06-23,365.0,354.0,364.0,363.5,2311.0,348.1271667480469
2015-06-24,365.0,356.0,365.0,356.0,292.0,340.9443359375
2015-06-25,363.0,356.0,356.0,358.0,747.0,342.8597717285156
2015-06-26,364.5,358.0,364.5,358.5,413.0,343.338623046875
2015-06-29,355.5,352.0,354.0,353.0,1335.0,338.0711975097656
2015-06-30,356.0,353.0,353.0,353.0,613.0,338.0711975097656
2015-07-01,356.0,355.0,356.0,355.0,2185.0,339.9866638183594
2015-07-02,356.0,354.0,356.0,354.0,306.0,339.0289611816406
2015-07-03,352.0,349.0,351.0,349.0,737.0,334.24041748046875
2015-07-06,355.0,349.0,355.0,349.0,89.0,334.24041748046875
2015-07-07,354.5,351.5,351.5,354.0,480.0,339.0289611816406
2015-07-08,351.0,349.5,349.5,351.0,76.0,336.15582275390625
2015-07-09,356.0,347.0,347.0,351.0,443.0,336.15582275390625
2015-07-10,356.0,352.5,355.0,354.0,5498.0,339.0289611816406
2015-07-13,356.0,350.0,350.0,356.0,1152.0,340.9443359375
2015-07-14,359.0,356.0,356.0,359.0,1811.0,343.8174743652344
2015-07-15,360.0,359.0,359.0,359.0,1514.0,343.8174743652344
