Date,High,Low,Open,Close,Volume,Adj Close
2014-05-22,10.100000381469727,9.5,10.0,9.5,31840.0,9.5
2014-05-23,9.5,9.5,9.5,9.5,0.0,9.5
2014-05-26,9.5,9.5,9.5,9.5,0.0,9.5
2014-05-27,9.5,9.5,9.5,9.5,0.0,9.5
2014-05-28,9.5,9.5,9.5,9.5,0.0,9.5
2014-05-30,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-02,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-03,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-04,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-05,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-09,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-10,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-11,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-12,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-13,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-16,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-17,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-18,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-19,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-23,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-24,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-25,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-26,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-27,9.5,9.5,9.5,9.5,0.0,9.5
2014-06-30,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-01,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-02,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-03,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-04,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-07,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-08,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-09,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-10,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-11,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-14,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-15,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-16,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-17,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-18,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-21,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-22,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-23,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-24,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-25,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-28,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-29,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-30,9.5,9.5,9.5,9.5,0.0,9.5
2014-07-31,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-01,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-04,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-05,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-06,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-07,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-08,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-11,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-12,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-13,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-14,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-15,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-18,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-19,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-20,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-21,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-22,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-25,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-26,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-27,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-28,9.5,9.5,9.5,9.5,0.0,9.5
2014-08-29,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-01,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-02,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-03,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-04,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-05,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-08,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-09,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-10,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-11,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-12,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-15,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-16,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-17,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-18,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-19,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-22,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-23,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-24,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-25,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-26,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-29,9.5,9.5,9.5,9.5,0.0,9.5
2014-09-30,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-01,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-02,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-03,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-06,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-07,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-08,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-09,9.5,9.5,9.5,9.5,0.0,9.5
2014-10-10,9.5,9.5,9.5,9.5,0.0,9.5
