Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,154.25,147.5,147.5,150.0,2667220.0,72.7489013671875
2000-01-04,149.0,142.5,148.5,144.0,3065326.0,69.83895874023438
2000-01-07,145.0,136.0,136.0,138.5,2571792.0,67.1714859008789
2000-01-10,149.75,142.5,142.5,143.0,2007066.0,69.35396575927734
2000-01-11,154.0,143.75,145.0,154.0,3824130.0,74.6888656616211
2000-01-12,154.0,148.25,151.5,154.0,3244754.0,74.6888656616211
2000-01-13,159.75,152.25,154.75,157.5,2875608.0,76.38636016845703
2000-01-14,160.0,153.5,160.0,155.0,2247648.0,75.17388153076172
2000-01-17,160.5,157.5,157.5,160.5,2341134.0,77.84131622314453
2000-01-18,163.5,158.25,159.75,162.0,1997256.0,78.56883239746094
2000-01-19,160.0,153.0,160.0,156.25,2834386.0,75.78011322021484
2000-01-20,160.0,156.0,156.5,157.5,2210594.0,76.38636016845703
2000-01-21,163.0,155.0,156.5,160.5,2195456.0,77.84131622314453
2000-01-24,163.0,158.25,161.5,159.75,2423902.0,77.47758483886719
2000-01-25,166.25,156.0,157.5,165.5,4017204.0,80.26630401611328
2000-01-26,170.0,165.0,167.0,165.75,3116806.0,80.38752746582031
2000-01-27,169.75,151.5,165.25,156.75,8715096.0,76.02259826660156
2000-01-28,153.75,142.0,153.75,142.5,12002378.0,69.1114501953125
2000-01-31,143.5,135.0,143.5,135.0,9392952.0,65.47401428222656
2000-02-01,144.25,131.0,137.5,144.25,20861162.0,69.96018981933594
2000-02-02,146.5,138.75,145.0,143.0,7196622.0,69.35396575927734
2000-02-03,142.0,137.0,142.0,137.0,3738754.0,66.44400024414062
2000-02-04,140.0,131.5,137.5,134.5,7601408.0,65.23151397705078
2000-02-07,136.0,130.25,134.5,131.5,4027802.0,63.77652359008789
2000-02-08,139.0,131.75,134.0,138.5,3984404.0,67.1714859008789
2000-02-09,143.5,138.5,140.25,138.5,5533338.0,67.1714859008789
2000-02-10,141.0,135.5,138.5,138.75,3411080.0,67.29273986816406
2000-02-11,142.5,137.0,140.0,141.75,3215328.0,68.74771118164062
2000-02-14,148.25,141.0,141.5,146.0,3186314.0,70.8089370727539
2000-02-15,148.0,140.25,146.5,141.0,3703096.0,68.38394927978516
2000-02-16,144.75,140.75,141.5,142.5,3563614.0,69.1114501953125
2000-02-17,142.75,140.0,142.5,141.5,3366972.0,68.62648010253906
2000-02-18,140.5,136.75,140.0,138.75,3287146.0,67.29273986816406
2000-02-21,139.5,136.5,136.5,137.5,2039796.0,66.6865005493164
2000-02-22,137.5,134.5,137.5,135.25,5610510.0,65.59526824951172
2000-02-23,138.5,132.75,135.0,133.75,3637324.0,64.86776733398438
2000-02-24,145.5,135.0,135.25,143.25,8591762.0,69.4751968383789
2000-02-25,148.5,142.25,145.0,145.75,3031996.0,70.68768310546875
2000-02-28,147.0,143.0,145.75,145.0,1880100.0,70.32394409179688
2000-02-29,146.0,142.5,145.0,144.75,1682464.0,70.20268249511719
2000-03-01,154.0,146.0,146.0,151.5,4177078.0,73.47639465332031
2000-03-02,163.5,151.75,154.5,163.0,5191004.0,79.05379486083984
2000-03-03,171.0,161.0,163.0,163.0,3710670.0,79.05379486083984
2000-03-06,171.5,117.5,165.5,166.5,4084018.0,80.75128173828125
2000-03-07,167.75,161.5,167.5,164.5,3412202.0,79.78132629394531
2000-03-08,159.5,150.25,159.0,152.5,6198606.0,73.9614028930664
2000-03-09,158.75,154.5,155.0,154.5,3414270.0,74.93136596679688
2000-03-10,158.5,155.75,158.0,157.5,1671800.0,76.38636016845703
2000-03-14,154.5,150.25,151.0,152.0,1975138.0,73.71888732910156
2000-03-15,153.0,150.0,152.5,151.75,1753212.0,73.59762573242188
2000-03-16,156.0,152.0,154.0,153.0,2090754.0,74.20389556884766
2000-03-17,160.5,153.5,156.5,155.25,1882160.0,75.29512023925781
2000-03-20,166.75,158.5,160.0,164.25,4296446.0,79.6600570678711
