Date,High,Low,Open,Close,Volume,Adj Close
2015-03-25,66.3499984741211,61.04999923706055,65.0,66.0999984741211,11919552.0,62.81675720214844
2015-03-26,68.9000015258789,63.20000076293945,65.75,67.30000305175781,1490762.0,63.957157135009766
2015-03-27,71.0,65.75,67.30000305175781,66.75,653195.0,63.434471130371094
2015-03-30,68.25,66.75,66.75,68.0,594797.0,64.62238311767578
2015-03-31,68.5,64.5,67.5,66.25,1080111.0,62.95930480957031
2015-04-01,67.25,65.0,65.5,67.0,133562.0,63.672054290771484
2015-04-02,69.5,67.25,67.25,68.0,67677.0,64.62238311767578
2015-04-07,71.75,68.75,69.0,70.25,340323.0,66.7606201171875
2015-04-08,70.5,69.0,70.5,70.25,473899.0,66.7606201171875
2015-04-09,71.25,69.5,70.5,70.25,505298.0,66.7606201171875
2015-04-10,72.0,70.0,70.25,71.5,322215.0,67.94853973388672
2015-04-13,71.0,69.0,71.0,70.0,124090.0,66.52304077148438
2015-04-14,69.75,67.0,69.5,69.25,209111.0,65.81029510498047
2015-04-15,70.0,68.0,68.5,68.0,109500.0,64.62238311767578
2015-04-16,70.0,68.0,68.0,69.0,105314.0,65.57271575927734
2015-04-17,69.5,67.5,69.5,67.5,135834.0,64.14722442626953
2015-04-20,68.5,65.0,67.5,65.75,143501.0,62.48414993286133
2015-04-21,67.0,64.25,67.0,67.0,390614.0,63.672054290771484
2015-04-22,67.5,66.0,67.5,67.25,82714.0,63.90963363647461
2015-04-23,70.0,67.0,67.25,70.0,338729.0,66.52304077148438
2015-04-24,70.0,67.5,70.0,68.5,38388.0,65.09754943847656
2015-04-27,70.0,67.75,68.25,67.75,74659.0,64.38479614257812
2015-04-28,69.0,66.5,69.0,66.75,69152.0,63.434471130371094
2015-04-29,68.5,63.75,67.0,65.5,890278.0,62.246559143066406
2015-04-30,66.0,63.0,63.75,65.25,36797.0,62.00897979736328
2015-05-04,68.0,66.0,68.0,66.5,208264.0,63.196895599365234
2015-05-05,67.0,63.75,66.5,64.75,92015.0,61.533817291259766
2015-05-06,66.5,64.0,66.5,65.25,789867.0,62.00897979736328
2015-05-07,67.0,64.0,66.0,66.75,443556.0,63.434471130371094
2015-05-08,68.25,66.25,67.0,66.5,238849.0,63.196895599365234
2015-05-11,67.75,65.5,67.0,67.5,241873.0,64.14722442626953
2015-05-12,67.25,66.25,67.25,66.75,214292.0,63.434471130371094
2015-05-13,67.5,65.25,65.25,67.0,8111.0,63.672054290771484
2015-05-15,69.5,65.25,68.5,66.0,465638.0,62.72172546386719
2015-05-18,68.75,64.75,68.75,67.0,31559.0,63.672054290771484
2015-05-19,70.25,68.0,68.75,69.75,455800.0,66.28546905517578
2015-05-20,70.0,68.75,69.75,69.75,51344.0,66.28546905517578
2015-05-21,70.0,67.75,69.75,69.25,52236.0,65.81029510498047
2015-05-22,69.75,67.75,69.75,69.5,293376.0,66.0478744506836
2015-05-25,70.0,68.5,70.0,68.5,16805.0,65.09754943847656
2015-05-26,69.25,68.0,68.5,68.5,1049409.0,65.09754943847656
2015-05-27,70.0,66.75,68.5,69.25,89663.0,65.81029510498047
2015-05-28,71.0,69.0,69.75,70.0,75629.0,66.52304077148438
2015-05-29,73.0,69.5,69.5,71.0,200389.0,67.4733657836914
2015-06-01,73.25,70.5,72.0,72.0,172872.0,68.42369842529297
2015-06-02,74.75,71.5,71.75,73.0,129393.0,69.37403869628906
2015-06-03,73.5,72.0,73.0,72.75,283473.0,69.13644409179688
2015-06-04,71.75,70.0,71.75,70.0,123394.0,66.52304077148438
2015-06-05,69.5,68.25,69.5,68.25,127504.0,64.85997009277344
2015-06-08,68.5,65.5,68.5,66.5,179526.0,63.196895599365234
2015-06-09,66.25,63.75,65.0,65.25,210648.0,62.00897979736328
2015-06-10,67.5,65.0,66.5,67.0,105551.0,63.672054290771484
2015-06-11,67.25,66.0,67.0,66.75,80405.0,63.434471130371094
2015-06-12,67.0,63.75,67.0,65.5,58055.0,62.246559143066406
2015-06-15,64.75,63.0,63.0,64.5,269586.0,61.29623031616211
2015-06-16,65.25,62.75,65.25,63.75,62778.0,60.5834846496582
2015-06-17,65.25,63.0,64.0,64.0,384510.0,60.821067810058594
2015-06-18,65.0,61.75,64.0,62.25,228345.0,59.15799331665039
2015-06-22,63.0,62.0,62.75,62.5,533951.0,59.395572662353516
2015-06-23,66.5,60.75,63.5,64.25,407407.0,61.058650970458984
2015-06-24,65.25,62.0,65.25,64.0,1233007.0,60.821067810058594
2015-06-25,64.0,63.0,64.0,63.0,104458.0,59.8707389831543
2015-06-26,64.25,63.0,64.0,63.75,264569.0,60.5834846496582
2015-06-29,62.25,58.0,60.0,61.75,81179.0,58.682823181152344
2015-06-30,62.5,60.25,62.0,62.5,167245.0,59.395572662353516
2015-07-01,63.75,60.25,60.25,63.0,15092.0,59.8707389831543
2015-07-02,67.0,64.25,67.0,64.25,249759.0,61.058650970458984
2015-07-03,65.0,62.25,65.0,62.25,48470.0,59.15799331665039
2015-07-06,62.5,60.75,61.25,61.25,26872.0,58.20766067504883
2015-07-07,61.5,60.75,61.0,61.0,38447.0,57.9700813293457
2015-07-08,62.0,61.0,61.25,61.0,667804.0,57.9700813293457
2015-07-09,62.0,60.25,60.5,61.5,35772.0,58.445247650146484
2015-07-10,63.0,61.25,62.0,61.75,109069.0,58.682823181152344
2015-07-13,63.5,61.75,62.0,63.25,59400.0,60.10831832885742
2015-07-14,64.0,63.0,64.0,63.0,25134.0,59.8707389831543
2015-07-15,62.75,62.0,62.25,62.0,427759.0,58.920406341552734
2015-07-16,64.25,62.75,62.75,63.75,700503.0,60.5834846496582
2015-07-17,64.5,62.5,64.5,63.0,54163.0,59.8707389831543
2015-07-20,63.5,62.75,63.5,62.75,52978.0,59.633155822753906
2015-07-21,63.0,62.5,62.75,62.75,367007.0,59.633155822753906
2015-07-22,64.5,62.75,63.0,64.0,216447.0,60.821067810058594
2015-07-23,64.75,64.0,64.0,64.75,47225.0,61.533817291259766
2015-07-24,65.5,64.75,65.0,65.5,24424.0,62.246559143066406
2015-07-27,65.75,63.0,64.0,63.0,24067.0,59.8707389831543
2015-07-28,64.5,62.5,62.5,64.5,122744.0,61.29623031616211
2015-07-29,65.0,63.5,64.0,64.0,93284.0,60.821067810058594
2015-07-30,64.25,63.25,64.0,64.0,430997.0,60.821067810058594
2015-07-31,63.25,60.5,62.0,63.25,510495.0,60.10831832885742
2015-08-03,63.5,61.5,62.25,62.0,117342.0,58.920406341552734
2015-08-04,63.75,61.75,62.0,63.0,43734.0,59.8707389831543
2015-08-05,63.25,61.0,62.5,61.75,121744.0,58.682823181152344
2015-08-06,62.5,60.5,62.0,61.5,309640.0,58.445247650146484
2015-08-07,62.0,61.5,62.0,61.75,37649.0,58.682823181152344
2015-08-10,63.0,62.0,62.25,62.0,41576.0,58.920406341552734
2015-08-11,62.25,60.75,61.5,61.5,57910.0,58.445247650146484
2015-08-12,61.75,61.0,61.0,61.25,57810.0,58.20766067504883
2015-08-13,62.25,61.5,61.75,61.75,108977.0,58.682823181152344
2015-08-14,62.25,61.5,61.5,62.0,133280.0,58.920406341552734
2015-08-17,62.5,61.5,61.5,62.25,21340.0,59.15799331665039
2015-08-18,62.25,61.5,61.5,61.75,97924.0,58.682823181152344
