Date,High,Low,Open,Close,Volume,Adj Close
2001-05-29,58.75,57.5,57.5,58.75,6451200.0,25.983165740966797
2001-05-30,61.5,59.625,59.625,61.125,4616704.0,27.03354835510254
2001-05-31,62.0,61.25,61.25,61.75,6169856.0,27.309965133666992
2001-06-01,62.5,61.25,61.25,62.5,15005440.0,27.64167022705078
2001-06-04,62.5,62.5,62.5,62.5,0.0,27.64167022705078
2001-06-05,63.25,62.5,62.5,62.625,3947264.0,27.69694709777832
2001-06-06,63.0,62.5,62.5,62.5,14904320.0,27.64167022705078
2001-06-07,62.5,62.0,62.5,62.0,9792256.0,27.4205322265625
2001-06-08,62.5,62.125,62.5,62.125,333739520.0,27.47582244873047
2001-06-11,63.75,61.75,61.75,63.75,3305984.0,28.19450569152832
2001-06-12,63.75,62.75,63.0,63.75,4072960.0,28.19450569152832
2001-06-13,64.0,63.25,63.5,64.0,2391040.0,28.305065155029297
2001-06-14,63.75,62.5,63.5,62.5,2944000.0,27.64167022705078
2001-06-15,62.5,61.0,62.5,61.5,2348032.0,27.199398040771484
2001-06-18,61.25,61.25,61.25,61.25,921600.0,27.088836669921875
2001-06-19,61.25,60.25,61.25,60.75,56955904.0,26.86770248413086
2001-06-20,60.25,56.25,60.25,57.75,28311552.0,25.5408992767334
2001-06-21,59.75,58.25,58.25,58.75,8094720.0,25.983165740966797
2001-06-22,58.75,58.75,58.75,58.75,0.0,25.983165740966797
2001-06-25,59.25,57.5,58.75,57.5,4006400.0,25.430330276489258
2001-06-26,58.0,56.75,57.5,57.5,8243200.0,25.430330276489258
2001-06-27,58.5,57.5,57.5,58.5,35717632.0,25.872596740722656
2001-06-28,60.0,59.0,59.0,60.0,1374720.0,26.53599739074707
2001-06-29,62.5,60.0,60.0,62.5,20925440.0,27.64167022705078
2001-07-02,62.5,61.0,62.5,61.0,2479360.0,26.9782657623291
2001-07-03,61.25,60.5,61.25,60.5,17203200.0,26.75713348388672
2001-07-04,60.75,59.5,60.75,60.0,65427456.0,26.53599739074707
2001-07-05,59.5,59.25,59.5,59.5,1395200.0,26.31486701965332
2001-07-06,60.0,58.75,59.25,60.0,998400.0,26.53599739074707
2001-07-09,58.5,57.5,57.5,58.0,1434112.0,25.65146255493164
2001-07-10,58.75,58.75,58.75,58.75,652800.0,25.983165740966797
2001-07-11,58.75,58.0,58.75,58.0,6019840.0,25.65146255493164
2001-07-12,60.0,58.75,58.75,60.0,8012800.0,26.53599739074707
2001-07-13,60.0,60.0,60.0,60.0,0.0,26.53599739074707
2001-07-16,61.25,59.25,59.25,61.25,273152.0,27.088836669921875
2001-07-17,60.25,60.25,60.25,60.25,179200.0,26.646564483642578
2001-07-18,59.5,59.25,59.25,59.5,220160.0,26.31486701965332
2001-07-19,59.5,59.5,59.5,59.5,128000.0,26.31486701965332
2001-07-20,59.25,58.0,59.25,58.0,2227200.0,25.65146255493164
2001-07-23,58.75,57.75,57.75,58.375,73705216.0,25.81731605529785
2001-07-24,57.875,57.5,57.875,57.5,2867456.0,25.430330276489258
2001-07-25,56.25,56.25,56.25,56.25,307200.0,24.87750244140625
2001-07-26,56.25,55.5,56.25,55.5,3865600.0,24.54579734802246
2001-07-27,56.25,55.5,55.5,56.25,11379200.0,24.87750244140625
2001-07-30,57.5,57.5,57.5,57.5,179200.0,25.430330276489258
2001-07-31,58.75,57.5,57.5,58.75,4239872.0,25.983165740966797
2001-08-01,58.75,57.25,57.375,58.75,21273600.0,25.983165740966797
2001-08-02,58.75,57.5,58.75,57.5,1254400.0,25.430330276489258
2001-08-03,57.5,57.5,57.5,57.5,51200.0,25.430330276489258
2001-08-06,58.75,58.0,58.75,58.0,102400.0,25.65146255493164
2001-08-07,59.0,58.75,58.75,59.0,20249600.0,26.093734741210938
2001-08-08,59.0,58.5,59.0,59.0,11852800.0,26.093734741210938
2001-08-09,59.0,58.5,59.0,58.5,3084800.0,25.872596740722656
2001-08-10,59.0,58.5,58.5,58.5,688640.0,25.872596740722656
