Date,High,Low,Open,Close,Volume,Adj Close
2006-12-01,114.25,111.0,111.0,112.75,11057514.0,86.96044158935547
2006-12-04,113.5,112.5,112.5,113.25,2052761.0,87.34608459472656
2006-12-05,122.75,113.0,113.25,122.0,1098701.0,94.09469604492188
2006-12-06,125.0,122.5,122.5,124.0,1209008.0,95.63721466064453
2006-12-07,124.0,122.0,123.0,122.5,441630.0,94.48030853271484
2006-12-08,122.5,121.0,121.5,121.5,573042.0,93.70905303955078
2006-12-11,122.5,121.5,122.0,122.5,863876.0,94.48030853271484
2006-12-12,123.0,121.0,122.0,121.25,448482.0,93.5162353515625
2006-12-13,122.5,121.0,121.5,121.25,480910.0,93.5162353515625
2006-12-14,122.5,121.0,121.0,121.75,90513.0,93.90185546875
2006-12-15,125.0,121.25,121.25,125.0,133703.0,96.40846252441406
2006-12-18,130.0,124.0,125.0,128.0,379585.0,98.72228240966797
2006-12-19,128.5,126.25,128.5,127.0,183600.0,97.95101165771484
2006-12-20,128.5,124.0,128.5,127.0,153337.0,97.95101165771484
2006-12-21,129.0,125.5,126.25,128.75,154600.0,99.30074310302734
2006-12-22,128.75,126.0,128.0,128.0,46755.0,98.72228240966797
2006-12-25,128.0,128.0,128.0,128.0,0.0,98.72228240966797
2006-12-26,128.0,128.0,128.0,128.0,0.0,98.72228240966797
2006-12-27,129.5,128.0,128.75,129.0,150694.0,99.49356079101562
2006-12-28,131.0,129.0,129.0,130.0,220002.0,100.26483154296875
2006-12-29,132.0,129.0,131.5,130.25,104890.0,100.4576416015625
2007-01-02,129.0,125.0,127.75,128.5,101750.0,99.10791778564453
2007-01-03,128.0,126.0,128.0,127.0,295509.0,97.95101165771484
2007-01-04,128.0,125.5,126.0,127.5,119950.0,98.33665466308594
2007-01-05,127.5,126.0,127.0,127.0,25200.0,97.95101165771484
2007-01-08,130.0,126.5,128.0,130.0,208398.0,100.26483154296875
2007-01-09,133.0,129.0,129.0,132.5,284047.0,102.19300079345703
2007-01-10,132.0,128.5,132.0,130.5,200906.0,100.65046691894531
2007-01-11,138.75,130.0,130.0,137.0,746945.0,105.66370391845703
2007-01-12,142.75,137.0,138.5,142.5,250343.0,109.90567779541016
2007-01-15,145.5,142.0,142.0,145.25,241680.0,112.02666473388672
2007-01-16,145.0,139.5,145.0,141.5,201636.0,109.1343994140625
2007-01-17,142.0,138.0,142.0,139.0,105670.0,107.20625305175781
2007-01-18,139.0,137.0,138.75,138.5,211340.0,106.82059478759766
2007-01-19,141.0,138.0,140.0,141.0,301117.0,108.748779296875
2007-01-22,145.0,141.0,142.0,141.75,109288.0,109.32723236083984
2007-01-23,142.5,140.0,142.0,142.5,111800.0,109.90567779541016
2007-01-24,142.5,141.25,141.5,141.5,271200.0,109.1343994140625
2007-01-25,143.0,140.0,141.0,142.75,319931.0,110.0984878540039
2007-01-26,141.75,139.5,139.5,140.5,290100.0,108.36312866210938
2007-01-29,140.75,138.0,140.0,138.0,144730.0,106.43496704101562
2007-01-30,141.0,137.0,137.75,140.25,978800.0,108.1703109741211
2007-01-31,141.0,139.25,140.5,140.75,572300.0,108.55595397949219
2007-02-01,142.0,140.0,140.25,141.5,125731.0,109.1343994140625
2007-02-02,142.25,139.75,139.75,141.0,253957.0,108.748779296875
2007-02-05,142.5,139.5,139.5,142.5,132288.0,109.90567779541016
2007-02-06,142.5,139.0,142.5,141.0,330474.0,108.748779296875
2007-02-07,146.75,139.0,140.5,146.5,869000.0,112.99076080322266
2007-02-08,146.5,143.0,145.75,143.5,271386.0,110.67694091796875
2007-02-09,145.5,143.0,143.0,145.5,185820.0,112.219482421875
2007-02-12,150.5,148.0,150.5,148.5,578287.0,114.53327941894531
2007-02-13,152.0,148.0,148.0,151.5,497740.0,116.84709167480469
2007-02-14,161.0,156.5,156.5,160.0,451810.0,123.40284729003906
2007-02-15,162.0,155.0,162.0,155.0,369532.0,119.54651641845703
2007-02-16,158.5,152.5,155.0,158.5,107431.0,122.24593353271484
2007-02-19,165.0,159.0,160.0,163.0,382800.0,125.71669006347656
2007-02-20,164.0,160.0,162.5,160.0,148817.0,123.40284729003906
2007-02-21,162.0,158.0,160.0,158.5,65900.0,122.24593353271484
2007-02-22,161.5,157.5,158.5,157.5,31587.0,121.47469329833984
2007-02-23,160.0,155.0,156.0,158.0,63367.0,121.8603515625
2007-02-26,161.0,154.5,161.0,156.5,42320.0,120.70339965820312
2007-02-27,155.0,143.75,153.5,150.0,242510.0,115.690185546875
2007-02-28,148.5,142.0,142.0,148.0,207707.0,114.14763641357422
2007-03-01,154.5,146.0,148.5,147.0,76321.0,113.37638092041016
2007-03-02,151.0,143.0,149.5,146.25,214979.0,112.79792785644531
2007-03-05,145.0,143.0,144.75,143.75,65570.0,110.8697509765625
2007-03-06,145.25,143.5,144.0,144.0,114672.0,111.06257629394531
2007-03-07,148.0,146.0,148.0,147.0,344087.0,113.37638092041016
2007-03-08,150.5,147.0,147.0,149.5,271000.0,115.3045425415039
2007-03-09,151.0,147.5,151.0,147.75,242318.0,113.95482635498047
2007-03-12,151.5,148.0,149.0,151.5,320240.0,116.84709167480469
2007-03-13,156.5,151.5,151.5,153.5,221200.0,118.38959503173828
2007-03-14,149.0,146.5,147.75,147.75,179000.0,113.95482635498047
2007-03-15,150.0,146.25,148.0,147.5,55825.0,113.76201629638672
2007-03-16,149.0,145.0,146.0,145.0,58225.0,111.83385467529297
2007-03-19,151.0,145.25,145.25,147.75,40200.0,113.95482635498047
2007-03-20,152.0,148.5,149.25,152.0,101321.0,117.23271179199219
2007-03-21,155.0,151.0,151.5,155.0,172213.0,119.54651641845703
2007-03-22,157.0,153.0,156.0,154.0,169346.0,118.7752456665039
2007-03-23,152.5,147.0,152.0,149.0,21225.0,114.9189224243164
2007-03-26,154.0,150.0,150.0,154.0,244480.0,118.7752456665039
2007-03-27,158.0,152.0,154.5,154.0,233984.0,118.7752456665039
2007-03-28,156.0,151.0,154.0,153.0,29060.0,118.0040054321289
2007-03-29,156.0,153.0,154.5,155.0,97345.0,119.54651641845703
2007-03-30,155.5,152.0,152.0,155.5,21815.0,119.93214416503906
2007-04-02,157.0,154.5,155.5,157.0,133653.0,121.08907318115234
2007-04-03,158.0,153.5,158.0,156.0,347367.0,120.31777954101562
2007-04-04,162.5,157.0,157.5,162.0,701216.0,124.94538116455078
2007-04-05,164.0,161.0,161.0,164.0,113915.0,126.48795318603516
2007-04-10,174.0,163.0,166.0,167.5,365958.0,129.18736267089844
2007-04-11,171.0,165.5,167.0,165.5,461015.0,127.64480590820312
