Date,High,Low,Open,Close,Volume,Adj Close
2017-03-23,57.0,50.5,55.0,51.5,1996275.0,49.867652893066406
2017-03-24,54.0,51.75,52.25,52.0,195560.0,50.351802825927734
2017-03-27,52.75,51.0,52.75,51.25,60114.0,49.62557601928711
2017-03-28,51.5,51.0,51.25,51.5,92096.0,49.867652893066406
2017-03-29,52.5,51.0,51.75,51.0,67076.0,49.38349914550781
2017-03-30,51.5,50.25,51.0,50.5,220181.0,48.899349212646484
2017-03-31,49.29999923706055,47.5,49.0,49.29999923706055,407748.0,47.73738479614258
2017-04-03,49.29999923706055,48.400001525878906,49.0,49.29999923706055,178345.0,47.73738479614258
2017-04-04,49.5,48.400001525878906,48.900001525878906,48.5,145221.0,46.962738037109375
2017-04-05,50.25,48.400001525878906,48.5,50.0,17093.0,48.41519546508789
2017-04-06,52.0,50.0,50.0,51.75,125805.0,50.1097297668457
2017-04-07,52.75,51.5,52.0,52.0,89658.0,50.351802825927734
2017-04-10,53.5,52.0,53.0,53.0,72331.0,51.32011032104492
2017-04-11,53.75,52.0,53.0,52.5,62758.0,50.83595657348633
2017-04-12,55.0,52.5,52.5,53.75,19354.0,52.04633712768555
2017-04-13,55.5,53.0,53.75,55.0,5236.0,53.256717681884766
2017-04-18,57.75,54.25,55.25,55.5,30388.0,53.74087142944336
2017-04-19,57.0,54.25,57.0,55.0,17771.0,53.256717681884766
2017-04-20,56.5,55.0,55.5,55.0,14063.0,53.256717681884766
2017-04-21,56.25,54.75,55.25,54.75,6983.0,53.0146369934082
2017-04-24,55.25,53.25,54.75,55.0,19672.0,53.256717681884766
2017-04-25,55.0,53.0,55.0,54.0,3382.0,52.288414001464844
2017-04-26,54.0,53.0,54.0,53.25,5522.0,51.56218719482422
2017-04-27,53.0,52.0,53.0,52.5,9111.0,50.83595657348633
2017-04-28,54.0,51.5,52.0,54.0,7289.0,52.288414001464844
2017-05-02,54.0,52.0,54.0,53.5,6320.0,51.80426025390625
2017-05-03,55.25,53.75,54.25,54.5,53750.0,52.77256393432617
2017-05-04,55.0,54.25,55.0,54.25,14700.0,52.530487060546875
2017-05-05,54.5,53.75,54.25,53.75,15054.0,52.04633712768555
2017-05-08,55.0,54.0,54.0,54.25,8754.0,52.530487060546875
2017-05-09,54.75,53.0,54.75,53.75,11531.0,52.04633712768555
2017-05-10,54.5,52.0,53.75,54.5,12368.0,52.77256393432617
2017-05-11,58.0,54.0,56.0,56.0,538129.0,54.22502136230469
2017-05-12,60.0,56.0,56.0,59.0,47355.0,57.12993240356445
2017-05-15,63.75,60.0,60.0,60.0,35108.0,58.098236083984375
2017-05-16,63.0,60.0,60.0,61.0,21232.0,59.0665397644043
2017-05-17,62.0,60.25,61.0,60.25,7632.0,58.34031295776367
