Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,93.0,79.0,93.0,84.0,51900.0,32.06711196899414
2000-01-04,82.0,76.0,82.0,79.0,47790.0,30.158349990844727
2000-01-05,79.0,79.0,79.0,79.0,0.0,30.158349990844727
2000-01-06,79.0,79.0,79.0,79.0,0.0,30.158349990844727
2000-01-07,76.0,72.0,75.0,74.5,51700.0,28.44046974182129
2000-01-10,83.0,78.0,80.0,83.0,96410.0,31.685354232788086
2000-01-11,86.0,79.0,84.0,80.0,63275.0,30.540102005004883
2000-01-12,80.0,77.0,80.0,79.0,29600.0,30.158349990844727
2000-01-13,81.5,77.0,80.0,79.0,15900.0,30.158349990844727
2000-01-14,85.0,79.5,80.0,84.5,73681.0,32.25798416137695
2000-01-17,88.0,84.0,85.5,85.5,54700.0,32.63972854614258
2000-01-18,87.0,80.0,87.0,82.5,53250.0,31.49448585510254
2000-01-19,89.5,80.0,82.5,88.5,48075.0,33.78498458862305
2000-01-20,108.0,95.0,95.0,107.0,268307.0,40.84738540649414
2000-01-21,112.0,105.0,112.0,107.5,159198.0,41.03826141357422
2000-01-24,125.0,118.5,119.0,122.5,148293.0,46.7645378112793
2000-01-25,120.0,106.5,111.5,120.0,222964.0,45.81016159057617
2000-01-26,122.0,106.0,120.0,108.5,163115.0,41.42001724243164
2000-01-27,108.0,100.0,106.0,102.5,73591.0,39.129512786865234
2000-01-28,112.0,103.0,106.0,105.0,85983.0,40.083892822265625
2000-01-31,105.0,98.0,103.0,98.0,60170.0,37.411617279052734
2000-02-01,105.0,98.5,99.0,103.0,49818.0,39.32038116455078
2000-02-02,106.0,103.0,105.0,104.5,42597.0,39.893009185791016
2000-02-03,108.0,101.0,106.0,108.0,59995.0,41.229148864746094
2000-02-04,118.0,109.0,116.0,114.0,139564.0,43.519649505615234
2000-02-07,125.0,118.0,119.0,120.5,111150.0,46.00102996826172
2000-02-08,135.0,124.0,125.0,130.5,146543.0,49.818546295166016
2000-02-09,135.0,116.0,132.0,122.0,99911.0,46.57366180419922
2000-02-10,117.0,108.5,115.0,117.0,81000.0,44.66489791870117
2000-02-11,123.0,115.0,120.0,118.0,59970.0,45.04664993286133
2000-02-14,118.0,112.0,117.0,117.5,56441.0,44.85578536987305
2000-02-15,116.0,105.0,115.5,105.0,56790.0,40.083892822265625
2000-02-16,113.0,107.0,107.0,107.5,47427.0,41.03826141357422
2000-02-17,108.0,104.0,106.0,107.0,61045.0,40.84738540649414
2000-02-18,110.0,106.0,109.0,107.5,46690.0,41.03826141357422
2000-02-21,103.0,95.0,99.0,102.0,39050.0,38.93862533569336
2000-02-22,103.0,97.0,100.5,100.0,51835.0,38.17512893676758
2000-02-23,102.5,98.0,101.0,100.0,24968.0,38.17512893676758
2000-02-24,108.5,100.0,102.5,104.0,55468.0,39.70212936401367
2000-02-25,106.0,103.0,105.0,103.5,26452.0,39.511260986328125
2000-02-28,105.0,96.0,103.0,103.0,46382.0,39.32038116455078
2000-02-29,102.0,99.0,102.0,102.0,24345.0,38.93862533569336
2000-03-01,112.0,99.5,104.0,110.0,128085.0,41.99264144897461
2000-03-02,110.0,103.0,108.5,106.0,36995.0,40.46564483642578
2000-03-03,130.5,103.0,104.5,130.5,214029.0,49.818546295166016
2000-03-06,160.0,135.0,135.0,160.0,376614.0,61.080204010009766
2000-03-07,174.0,153.0,160.0,164.5,290409.0,62.79808807373047
2000-03-08,185.0,156.0,160.0,177.0,237418.0,67.5699691772461
2000-03-09,200.0,185.0,189.0,194.0,287575.0,74.05974578857422
2000-03-10,207.5,196.0,196.0,200.0,246145.0,76.35025787353516
2000-03-13,200.0,200.0,200.0,200.0,0.0,76.35025787353516
2000-03-14,197.0,187.0,190.0,192.0,53910.0,73.29624938964844
2000-03-15,188.0,172.0,188.0,177.5,62240.0,67.76084899902344
2000-03-16,175.0,160.0,164.0,168.0,143984.0,64.13422393798828
2000-03-17,198.0,172.0,172.0,188.5,236770.0,71.96011352539062
2000-03-20,215.0,203.0,210.0,209.5,152558.0,79.97689819335938
2000-03-21,203.0,179.5,200.0,196.0,44535.0,74.82323455810547
2000-03-22,220.0,202.0,204.0,207.0,142964.0,79.02252197265625
2000-03-23,213.0,185.0,213.0,194.0,35035.0,74.05974578857422
2000-03-24,200.0,185.0,200.0,193.0,13334.0,73.6780014038086
2000-03-27,193.0,185.0,185.0,190.0,63796.0,72.53274536132812
2000-03-28,195.0,182.0,185.0,186.0,49504.0,71.00575256347656
2000-03-29,192.0,176.0,181.0,179.0,83213.0,68.3334732055664
2000-03-30,172.0,150.0,163.0,170.0,105176.0,64.8977279663086
2000-03-31,175.0,154.0,156.0,163.0,273452.0,62.22545623779297
2000-04-03,166.0,156.0,165.0,158.0,78214.0,60.31669998168945
2000-04-04,162.5,152.0,152.0,155.0,86780.0,59.17143249511719
2000-04-05,159.0,137.0,155.0,139.5,67347.0,53.254302978515625
2000-04-06,157.0,140.0,140.0,155.0,209019.0,59.17143249511719
2000-04-07,159.0,154.5,159.0,156.0,113330.0,59.553218841552734
2000-04-10,159.5,154.0,157.5,157.0,63005.0,59.93496322631836
2000-04-11,150.0,142.0,150.0,144.5,37663.0,55.163063049316406
2000-04-12,149.0,142.0,149.0,146.0,28110.0,55.735694885253906
2000-04-13,140.0,131.0,131.0,138.0,37080.0,52.68167495727539
2000-04-14,138.0,110.0,138.0,120.0,51756.0,45.81016159057617
2000-04-17,125.0,105.0,105.0,120.0,56780.0,45.81016159057617
2000-04-18,130.0,117.0,126.0,124.0,47595.0,47.33716583251953
2000-04-19,132.5,124.0,124.5,132.0,59186.0,50.39117431640625
2000-04-20,135.0,126.0,131.5,132.0,35044.0,50.39117431640625
2000-04-21,132.0,132.0,132.0,132.0,0.0,50.39117431640625
2000-04-24,132.0,132.0,132.0,132.0,0.0,50.39117431640625
2000-04-25,130.0,122.0,130.0,129.0,16134.0,49.24591827392578
2000-04-26,140.0,134.0,134.0,135.0,36850.0,51.536434173583984
2000-04-27,135.0,118.5,135.0,123.0,44455.0,46.95541763305664
2000-04-28,124.0,113.5,124.0,123.0,22338.0,46.95541763305664
2000-05-01,123.0,123.0,123.0,123.0,0.0,46.95541763305664
2000-05-02,123.0,115.0,121.0,117.0,25214.0,44.66489791870117
2000-05-03,122.5,115.0,117.0,120.0,39660.0,45.81016159057617
2000-05-04,122.0,116.0,119.0,116.5,20950.0,44.474021911621094
2000-05-05,119.0,114.0,119.0,117.0,26635.0,44.66489791870117
2000-05-08,119.0,108.0,119.0,110.0,26505.0,41.99264144897461
2000-05-09,110.0,110.0,110.0,110.0,0.0,41.99264144897461
2000-05-10,105.0,100.0,101.0,104.0,76850.0,39.70212936401367
2000-05-11,118.0,100.0,103.0,118.0,39274.0,45.04664993286133
2000-05-12,118.0,110.0,118.0,112.5,36738.0,42.94702911376953
2000-05-15,114.0,110.0,112.0,113.0,20910.0,43.137901306152344
2000-05-16,121.0,115.0,115.0,121.0,35929.0,46.1919059753418
2000-05-17,123.0,119.0,120.0,120.0,48285.0,45.81016159057617
2000-05-18,120.0,114.0,117.0,114.0,25344.0,43.519649505615234
2000-05-19,113.0,101.0,113.0,106.0,17755.0,40.46564483642578
