Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,213.0,206.0,213.0,212.0,6448.0,136.9922637939453
2000-01-04,210.0,205.0,210.0,205.5,9250.0,132.7920684814453
2000-01-07,200.0,196.0,198.0,200.0,3600.0,129.23800659179688
2000-01-10,215.0,205.0,205.0,211.0,5550.0,136.3460693359375
2000-01-11,219.0,210.0,216.0,219.0,8100.0,141.51559448242188
2000-01-12,220.0,215.0,220.0,220.0,2305.0,142.16180419921875
2000-01-13,238.0,223.0,223.0,237.0,18866.0,153.14700317382812
2000-01-14,245.0,227.0,227.0,240.0,40380.0,155.0855712890625
2000-01-17,260.0,239.0,244.0,250.0,21225.0,161.5474853515625
2000-01-18,258.0,250.0,258.0,255.0,11718.0,164.77845764160156
2000-01-19,250.0,240.0,248.0,245.0,22100.0,158.31655883789062
2000-01-20,250.0,244.5,246.0,245.0,15250.0,158.31655883789062
2000-01-21,244.0,241.0,241.5,243.0,6615.0,157.024169921875
2000-01-24,246.0,243.0,243.0,246.0,13786.0,158.96273803710938
2000-01-25,246.0,240.0,241.5,245.0,22080.0,158.31655883789062
2000-01-26,250.0,242.0,246.0,246.0,3050.0,158.96273803710938
2000-01-27,260.0,251.0,257.5,252.0,3610.0,162.83985900878906
2000-01-28,255.0,245.0,255.0,245.0,5809.0,158.31655883789062
2000-01-31,250.0,240.0,240.0,245.0,3715.0,158.31655883789062
2000-02-01,247.0,245.0,247.0,246.5,950.0,159.28582763671875
2000-02-02,250.0,230.0,245.0,240.0,17080.0,155.0855712890625
2000-02-03,252.0,242.0,242.0,247.0,10627.0,159.6089324951172
2000-02-04,254.0,250.0,251.0,253.0,15300.0,163.48606872558594
2000-02-07,270.0,253.0,253.0,265.0,6750.0,171.24034118652344
2000-02-08,275.0,263.0,265.0,265.0,5177.0,171.24034118652344
2000-02-09,275.0,271.0,273.0,271.0,4810.0,175.11749267578125
2000-02-10,271.0,260.0,271.0,264.0,3440.0,170.59414672851562
2000-02-11,276.0,266.0,269.0,266.0,10350.0,171.88653564453125
2000-02-14,280.0,250.0,270.0,250.0,8200.0,161.5474853515625
2000-02-15,286.0,269.5,269.5,280.0,14480.0,180.9331817626953
2000-02-16,302.0,280.0,280.0,301.0,12995.0,194.50320434570312
2000-02-17,305.0,266.0,300.0,300.0,7730.0,193.85699462890625
2000-02-18,310.0,299.0,301.0,310.0,18705.0,200.3189239501953
2000-02-21,310.0,295.0,299.0,310.0,22598.0,200.3189239501953
2000-02-22,299.0,287.0,298.0,287.0,16120.0,185.45654296875
2000-02-23,290.0,285.0,288.0,289.0,8553.0,186.74891662597656
2000-02-24,288.0,269.0,281.0,280.0,14274.0,180.9331817626953
2000-02-25,295.0,275.0,275.0,295.0,5210.0,190.6260528564453
2000-02-28,296.0,286.0,289.0,291.0,9183.0,188.0413055419922
2000-02-29,302.0,300.0,300.0,302.0,1215.0,195.1493377685547
2000-03-01,315.0,304.0,304.0,312.0,10221.0,201.61126708984375
2000-03-02,314.0,310.0,311.0,313.0,1060.0,202.25747680664062
2000-03-03,318.0,311.0,311.0,318.0,4850.0,205.48841857910156
2000-03-06,349.0,325.0,325.0,349.0,3595.0,225.52029418945312
2000-03-07,380.0,350.0,350.0,352.0,6241.0,227.45887756347656
2000-03-08,360.0,340.0,352.0,355.0,5288.0,229.3974609375
2000-03-09,390.0,360.0,360.0,390.0,15609.0,252.01412963867188
2000-03-10,410.0,392.0,392.0,400.0,17745.0,258.47601318359375
2000-03-14,391.5,360.0,391.5,385.0,15000.0,248.78314208984375
2000-03-15,385.0,370.0,381.0,380.0,5345.0,245.55215454101562
2000-03-16,370.0,350.0,370.0,370.0,5205.0,239.09033203125
2000-03-17,394.0,371.0,394.0,375.0,1420.0,242.3212432861328
2000-03-20,375.0,350.0,375.0,350.0,1110.0,226.16651916503906
2000-03-21,347.0,330.0,345.0,335.0,1750.0,216.47366333007812
2000-03-22,330.0,311.0,311.0,324.0,2205.0,209.36557006835938
2000-03-23,342.0,320.0,320.0,330.0,1408.0,213.24269104003906
2000-03-24,325.0,320.0,325.0,320.0,650.0,206.78082275390625
2000-03-27,325.0,315.0,318.0,315.0,7400.0,203.54981994628906
2000-03-28,310.0,300.0,310.0,302.0,4065.0,195.1493377685547
2000-03-29,300.0,282.0,299.5,282.0,1320.0,182.2255859375
2000-03-30,269.0,226.5,255.0,249.0,6120.0,160.9012908935547
2000-03-31,289.0,242.0,242.0,274.0,5438.0,177.05606079101562
2000-04-03,295.0,270.0,290.0,290.0,8867.0,187.39511108398438
2000-04-04,310.0,295.0,295.0,310.0,1808.0,200.3189239501953
2000-04-05,315.0,295.0,315.0,310.0,7010.0,200.3189239501953
2000-04-06,312.0,310.0,310.0,312.0,270.0,201.61126708984375
2000-04-07,305.0,300.0,300.0,300.0,1020.0,193.85699462890625
2000-04-10,310.0,300.0,310.0,300.0,1725.0,193.85699462890625
2000-04-11,300.0,300.0,300.0,300.0,686.0,193.85699462890625
2000-04-12,300.0,299.0,300.0,299.0,2166.0,193.8570098876953
2000-04-13,300.0,280.0,295.0,300.0,3684.0,194.5053253173828
2000-04-14,295.0,270.0,295.0,270.0,10510.0,175.05487060546875
2000-04-17,260.0,255.0,260.0,255.0,940.0,165.32952880859375
2000-04-18,295.0,270.0,270.0,295.0,1100.0,191.2635955810547
2000-04-19,305.0,295.0,295.0,301.0,3030.0,195.15371704101562
2000-04-20,301.0,291.0,301.0,301.0,840.0,195.15371704101562
2000-04-25,306.0,305.0,305.0,306.0,497.0,198.39547729492188
2000-04-26,314.0,305.0,310.0,305.0,1563.0,197.74705505371094
2000-04-27,308.0,305.0,308.0,306.0,306.0,198.39547729492188
2000-04-28,310.0,307.0,307.0,310.0,305.0,200.9888458251953
2000-05-02,305.0,301.0,301.0,301.0,1158.0,195.15371704101562
2000-05-03,304.0,290.0,290.0,304.0,850.0,197.09878540039062
2000-05-04,305.0,290.0,305.0,290.0,500.0,188.02186584472656
2000-05-05,299.0,290.0,290.0,299.0,2900.0,193.8570098876953
