Date,High,Low,Open,Close,Volume,Adj Close
2015-12-02,67.5,62.25,67.0,63.75,12941253.0,58.89726257324219
2015-12-03,64.75,63.25,64.0,63.25,1968451.0,58.43532180786133
2015-12-04,64.5,63.0,63.5,63.5,994529.0,58.666290283203125
2015-12-07,64.5,63.75,64.0,64.0,811626.0,59.128231048583984
2015-12-08,64.25,62.5,64.0,63.0,1447309.0,58.204349517822266
2015-12-09,63.25,61.75,62.75,62.25,962184.0,57.51144027709961
2015-12-10,62.75,62.0,62.25,62.0,856759.0,57.28047180175781
2015-12-11,62.5,59.25,62.0,60.75,945726.0,56.12562561035156
2015-12-14,62.5,59.25,62.0,60.75,945726.0,56.12562561035156
2015-12-15,63.0,60.25,60.25,62.75,376523.0,57.97338104248047
2015-12-16,63.5,62.25,63.0,63.5,319829.0,58.666290283203125
2015-12-17,66.25,63.5,64.0,66.0,829730.0,60.97598648071289
2015-12-18,66.75,64.25,66.0,66.0,905834.0,60.97598648071289
2015-12-21,66.25,65.0,66.0,66.0,507655.0,60.97598648071289
2015-12-22,67.0,65.0,66.5,67.0,427942.0,61.899871826171875
2015-12-23,67.5,66.0,67.0,67.5,196290.0,62.3618049621582
2015-12-28,67.75,66.5,67.5,67.0,193769.0,61.899871826171875
2015-12-29,67.25,66.75,66.75,67.0,117962.0,61.899871826171875
2015-12-30,67.75,67.0,67.0,67.5,329736.0,62.3618049621582
2016-01-04,66.75,64.75,66.75,65.5,197304.0,60.51404571533203
2016-01-05,65.75,64.5,65.5,65.25,17814.0,60.283077239990234
2016-01-07,64.75,62.75,64.75,63.0,98590.0,58.204349517822266
2016-01-08,64.0,62.0,63.0,62.5,114068.0,57.74241256713867
2016-01-11,63.75,62.0,62.5,62.75,111419.0,57.97338104248047
2016-01-12,64.25,62.5,63.0,63.25,236945.0,58.43532180786133
2016-01-13,65.0,63.0,64.0,63.5,96012.0,58.666290283203125
2016-01-14,63.5,62.0,63.5,62.5,40467.0,57.74241256713867
2016-01-15,62.75,60.0,62.75,61.0,159308.0,56.35659408569336
2016-01-18,61.25,59.25,61.25,60.0,174411.0,55.432716369628906
2016-01-19,60.5,58.0,60.0,58.25,485900.0,53.8159294128418
2016-01-20,58.0,56.0,57.5,56.0,311920.0,51.737205505371094
2016-01-21,58.5,56.0,56.0,58.25,106626.0,53.8159294128418
2016-01-22,59.5,57.5,58.5,59.0,340832.0,54.50883865356445
2016-01-25,59.5,58.0,59.0,58.5,43462.0,54.046897888183594
2016-01-26,59.25,58.0,58.5,58.5,89217.0,54.046897888183594
2016-01-27,59.0,57.25,59.0,57.75,287268.0,53.35398864746094
2016-01-28,58.25,56.5,57.25,57.0,150867.0,52.66108322143555
2016-01-29,57.5,55.75,57.5,56.75,1302621.0,52.43011474609375
2016-02-01,58.25,56.75,57.0,57.75,75737.0,53.35398864746094
2016-02-02,58.75,57.75,57.75,58.25,201062.0,53.8159294128418
2016-02-03,60.25,58.25,58.25,59.0,129801.0,54.50883865356445
2016-02-04,59.75,58.0,59.0,59.5,170897.0,54.97077560424805
2016-02-05,59.75,57.25,59.75,57.5,202058.0,53.12302017211914
2016-02-08,58.0,55.25,58.0,55.25,57651.0,51.04429244995117
2016-02-09,55.75,54.0,55.5,54.5,157372.0,50.351383209228516
2016-02-10,55.75,54.5,54.75,55.25,137599.0,51.04429244995117
2016-02-11,55.75,54.0,55.0,55.75,37791.0,51.50623321533203
2016-02-12,57.0,54.75,55.75,56.25,26417.0,51.96817398071289
2016-02-15,58.0,56.75,58.0,57.5,19204.0,53.12302017211914
2016-02-16,59.25,56.75,58.0,56.75,118325.0,52.43011474609375
2016-02-17,59.0,56.75,57.5,59.0,123479.0,54.50883865356445
2016-02-18,60.0,58.5,59.0,58.75,130476.0,54.27786636352539
2016-02-19,60.75,59.0,59.0,60.25,105637.0,55.66368865966797
2016-02-22,63.75,60.5,60.75,62.5,200229.0,57.74241256713867
2016-02-23,63.5,60.0,63.25,60.0,220359.0,55.432716369628906
2016-02-24,60.75,58.0,60.0,58.0,268772.0,53.5849609375
2016-02-25,59.75,57.75,58.75,59.0,123077.0,54.50883865356445
2016-02-26,59.75,57.25,59.75,58.25,61044.0,53.8159294128418
2016-02-29,58.75,57.5,57.5,58.5,43167.0,54.046897888183594
2016-03-01,59.0,57.75,57.75,58.0,96137.0,53.5849609375
2016-03-02,59.75,58.0,58.25,59.5,150148.0,54.97077560424805
2016-03-03,61.5,59.0,59.25,60.25,68966.0,55.66368865966797
2016-03-04,61.5,58.75,60.25,58.75,183652.0,54.27786636352539
2016-03-07,60.5,58.75,59.0,60.5,137193.0,55.89466094970703
2016-03-08,60.25,58.5,58.5,59.5,20538.0,54.97077560424805
2016-03-09,59.5,56.5,59.5,56.75,200184.0,52.43011474609375
2016-03-10,57.75,55.75,57.25,55.75,421577.0,51.50623321533203
2016-03-11,58.25,56.25,56.25,57.75,222738.0,53.35398864746094
2016-03-14,58.5,57.0,57.75,57.25,149357.0,52.892051696777344
2016-03-15,59.5,57.0,57.0,59.25,85719.0,54.73980712890625
2016-03-16,59.5,58.75,59.25,59.0,45425.0,54.50883865356445
2016-03-17,61.75,59.25,59.25,61.0,110615.0,56.35659408569336
2016-03-18,61.0,59.25,59.25,59.5,59248.0,54.97077560424805
2016-03-21,60.0,59.25,59.25,60.0,12466.0,55.432716369628906
2016-03-22,60.0,59.25,60.0,59.75,6762.0,55.20174789428711
2016-03-23,60.25,59.5,59.5,60.0,76465.0,55.432716369628906
2016-03-24,60.25,59.5,60.0,60.0,129917.0,55.432716369628906
2016-03-29,60.0,59.0,59.5,59.5,50090.0,54.97077560424805
2016-03-30,60.0,59.5,59.5,60.0,36774.0,55.432716369628906
2016-03-31,61.0,60.0,60.0,61.0,16363.0,56.35659408569336
2016-04-01,61.0,60.0,60.5,60.5,7469.0,55.89466094970703
2016-04-04,61.75,60.5,60.5,60.75,20287.0,56.12562561035156
2016-04-05,61.0,59.75,61.0,60.5,304144.0,55.89466094970703
2016-04-06,62.0,60.5,60.5,61.5,36398.0,56.81853485107422
2016-04-07,61.75,60.5,61.5,61.75,28650.0,57.049503326416016
2016-04-08,62.25,61.25,61.25,62.25,28220.0,57.51144027709961
2016-04-11,62.5,61.0,61.0,62.5,23043.0,57.74241256713867
2016-04-12,62.25,61.25,62.0,62.0,19806.0,57.28047180175781
2016-04-13,63.5,61.5,62.5,63.5,48119.0,58.666290283203125
2016-04-14,63.5,62.5,63.25,62.5,35052.0,57.74241256713867
2016-04-15,62.75,62.5,62.5,62.75,29088.0,57.97338104248047
2016-04-18,63.0,62.5,62.75,63.0,55713.0,58.204349517822266
2016-04-19,64.0,62.5,63.25,63.5,53115.0,58.666290283203125
2016-04-20,64.25,63.0,63.0,64.25,83754.0,59.35919952392578
2016-04-21,64.5,63.0,64.25,63.75,207968.0,58.89726257324219
2016-04-22,63.75,62.5,63.75,63.0,29006.0,58.204349517822266
2016-04-25,63.0,61.5,63.0,63.0,35055.0,58.204349517822266
2016-04-26,62.5,61.25,62.5,62.5,35562.0,57.74241256713867
2016-04-27,64.0,62.25,62.5,64.0,36378.0,59.128231048583984
2016-04-28,64.0,62.5,64.0,62.75,34634.0,57.97338104248047
2016-04-29,62.75,61.0,62.75,62.0,28878.0,57.28047180175781
2016-05-02,63.0,61.5,62.0,62.25,10715.0,57.51144027709961
2016-05-03,63.0,61.75,62.25,62.75,96552.0,57.97338104248047
2016-05-04,63.0,61.5,61.75,62.75,11527.0,57.97338104248047
2016-05-06,63.0,61.75,62.75,63.0,34887.0,58.204349517822266
2016-05-09,63.25,62.0,63.25,62.75,29644.0,57.97338104248047
2016-05-10,63.0,62.0,62.75,63.0,49596.0,58.204349517822266
2016-05-11,63.5,61.75,63.5,63.0,19020.0,58.204349517822266
2016-05-12,63.0,61.5,61.5,62.5,79108.0,57.74241256713867
2016-05-13,62.5,61.5,62.5,62.5,31077.0,57.74241256713867
2016-05-16,63.0,61.5,61.5,63.0,29066.0,58.204349517822266
2016-05-17,63.25,61.5,63.0,63.25,41315.0,58.43532180786133
2016-05-18,63.0,61.75,63.0,62.25,15159.0,57.51144027709961
2016-05-19,62.5,61.5,62.25,62.25,28960.0,57.51144027709961
