Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,11.25,10.625,11.0,10.625,23200.0,0.9784579873085022
2000-01-04,11.25,10.75,11.25,10.75,12000.0,0.98996901512146
2000-01-05,10.75,10.75,10.75,10.75,0.0,0.98996901512146
2000-01-06,10.75,10.75,10.75,10.75,0.0,0.98996901512146
2000-01-07,10.75,10.625,10.625,10.75,7200.0,0.98996901512146
2000-01-10,10.75,10.5,10.625,10.75,4800.0,0.98996901512146
2000-01-11,10.75,10.625,10.75,10.625,14400.0,0.9784579873085022
2000-01-12,10.75,10.6875,10.75,10.75,24000.0,0.98996901512146
2000-01-13,10.875,10.875,10.875,10.875,2400.0,1.0014804601669312
2000-01-14,11.25,10.6875,11.125,10.6875,28800.0,0.9842135310173035
2000-01-17,10.75,10.5,10.75,10.625,37600.0,0.9784579873085022
2000-01-18,10.75,10.625,10.625,10.75,47200.0,0.98996901512146
2000-01-19,11.1875,10.75,10.75,11.1875,78400.0,1.0302585363388062
2000-01-20,12.0,11.25,11.25,11.75,78400.0,1.0820591449737549
2000-01-21,11.875,11.25,11.875,11.25,37600.0,1.0360139608383179
2000-01-24,11.125,10.8125,11.125,11.125,12000.0,1.0245031118392944
2000-01-25,11.125,10.625,11.125,10.625,20000.0,0.9784579873085022
2000-01-26,10.75,10.625,10.6875,10.75,12800.0,0.98996901512146
2000-01-27,10.875,10.5,10.625,10.875,9600.0,1.0014804601669312
2000-01-28,11.0,10.375,10.6875,10.875,20800.0,1.0014804601669312
2000-01-31,10.875,10.875,10.875,10.875,10400.0,1.0014804601669312
2000-02-01,10.875,10.75,10.875,10.875,802400.0,1.0014804601669312
2000-02-02,11.125,10.75,10.875,11.125,3200.0,1.0245031118392944
2000-02-03,11.0,10.875,11.0,10.875,3200.0,1.0014804601669312
2000-02-04,10.875,10.75,10.875,10.875,11200.0,1.0014804601669312
2000-02-07,11.25,11.0,11.0,11.25,71200.0,1.0360139608383179
2000-02-08,11.25,10.625,11.25,11.0625,20800.0,1.0187474489212036
2000-02-09,11.25,10.8125,11.125,11.25,11632800.0,1.0360139608383179
2000-02-10,10.9375,10.8125,10.875,10.9375,1104800.0,1.0072360038757324
2000-02-11,10.9375,10.8125,10.9375,10.8125,171200.0,0.9957245588302612
2000-02-14,11.3125,10.75,10.75,11.125,222400.0,1.0245031118392944
2000-02-15,11.25,10.875,11.25,10.9375,279200.0,1.0072360038757324
2000-02-16,11.0,10.5,11.0,10.625,4696000.0,0.9784579873085022
2000-02-17,11.0,10.625,10.625,10.875,66400.0,1.0014804601669312
2000-02-18,11.0,10.875,10.875,10.875,42400.0,1.0014804601669312
2000-02-21,10.875,10.625,10.75,10.625,8000.0,0.9784579873085022
