Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,9.5625,8.9375,9.5625,9.15625,232800.0,0.00017249659867957234
2000-01-04,9.0625,8.46875,9.0625,8.8125,111520.0,0.00016602057439740747
2000-01-05,8.8125,8.8125,8.8125,8.8125,0.0,0.00016602057439740747
2000-01-06,8.8125,8.8125,8.8125,8.8125,0.0,0.00016602057439740747
2000-01-07,8.9375,8.59375,8.625,8.9375,40320.0,0.0001683755253907293
2000-01-10,9.125,8.75,9.0,8.9375,110400.0,0.0001683755253907293
2000-01-11,8.9375,8.8125,8.9375,8.8125,101120.0,0.00016602057439740747
2000-01-12,9.25,8.875,8.9375,9.25,405040.0,0.00017426279373466969
2000-01-13,9.5625,9.25,9.3125,9.4375,265440.0,0.00017779511108528823
2000-01-14,9.6875,9.3125,9.5625,9.4375,169600.0,0.00017779511108528823
2000-01-17,9.53125,9.28125,9.53125,9.28125,187760.0,0.00017485153512097895
2000-01-18,9.5625,9.34375,9.34375,9.5,197200.0,0.0001789725647540763
2000-01-19,9.53125,9.375,9.5,9.375,81600.0,0.00017661770107224584
2000-01-20,9.4375,9.1875,9.375,9.28125,72432.0,0.00017485153512097895
2000-01-21,9.5,9.3125,9.375,9.375,212320.0,0.00017661770107224584
2000-01-24,9.9375,9.53125,9.53125,9.875,553920.0,0.00018603728676680475
2000-01-25,9.8125,9.5,9.6875,9.5625,152800.0,0.00018015004752669483
2000-01-26,9.8125,9.5,9.625,9.6875,194400.0,0.0001825049112085253
2000-01-27,9.6875,9.5,9.5625,9.5,187120.0,0.0001789725647540763
2000-01-28,9.53125,9.375,9.53125,9.46875,45360.0,0.00017838382336776704
2000-01-31,9.625,9.375,9.5,9.375,106480.0,0.00017661770107224584
2000-02-01,9.5625,9.375,9.5,9.5625,123520.0,0.00018015004752669483
2000-02-02,9.625,9.375,9.375,9.4375,110720.0,0.00017779511108528823
2000-02-03,9.6875,9.40625,9.4375,9.5,231200.0,0.0001789725647540763
2000-02-04,9.6875,9.53125,9.625,9.625,117856.0,0.00018132747209165245
2000-02-07,9.8125,9.625,9.6875,9.8125,220000.0,0.00018485983309801668
2000-02-08,10.09375,9.6875,9.75,9.875,240800.0,0.00018603728676680475
2000-02-09,10.0,9.8125,10.0,9.875,82880.0,0.00018603728676680475
2000-02-10,10.0,9.8125,9.8125,10.0,170016.0,0.00018839220865629613
2000-02-11,11.0,10.0,10.0,10.3125,457200.0,0.00019427943334449083
2000-02-14,10.75,10.5,10.6875,10.59375,291120.0,0.00019957796030212194
2000-02-15,10.625,10.5,10.625,10.5,214560.0,0.00019781183800660074
2000-02-16,10.8125,10.5,10.75,10.6875,195296.0,0.00020134415535721928
2000-02-17,10.875,10.5625,10.75,10.625,140000.0,0.00020016668713651597
2000-02-18,10.75,10.5,10.625,10.75,135328.0,0.00020252160902600735
2000-02-21,10.6875,10.46875,10.65625,10.5,68880.0,0.00019781183800660074
2000-02-22,10.625,10.375,10.5,10.5,112480.0,0.00019781183800660074
2000-02-23,10.5,10.3125,10.4375,10.3125,96176.0,0.00019427943334449083
2000-02-24,10.625,10.375,10.625,10.375,137600.0,0.0001954568870132789
2000-02-25,10.625,10.34375,10.625,10.625,216000.0,0.00020016668713651597
2000-02-28,10.625,10.4375,10.5,10.5,132800.0,0.00019781183800660074
2000-02-29,10.5,10.28125,10.5,10.3125,139200.0,0.00019427943334449083
2000-03-01,10.5,10.25,10.3125,10.5,233360.0,0.00019781183800660074
2000-03-02,10.5,10.4375,10.46875,10.5,75200.0,0.00019781183800660074
2000-03-03,10.625,10.25,10.46875,10.625,87296.0,0.00020016668713651597
2000-03-06,10.9375,10.5,10.625,10.875,274960.0,0.00020487650181166828
2000-03-07,10.9375,10.625,10.9375,10.75,72400.0,0.00020252160902600735
2000-03-08,10.8125,10.59375,10.8125,10.75,99200.0,0.00020252160902600735
2000-03-09,10.875,10.625,10.875,10.625,96592.0,0.00020016668713651597
2000-03-10,11.0625,10.75,10.875,11.0,234400.0,0.0002072313945973292
2000-03-13,11.75,10.9375,11.1875,11.125,67360.0,0.00020958631648682058
2000-03-14,11.25,11.0625,11.0625,11.125,46128.0,0.00020958631648682058
2000-03-15,11.375,10.5,11.375,10.625,116160.0,0.00020016668713651597
2000-03-16,10.9375,10.75,10.9375,10.9375,75200.0,0.0002060539263766259
2000-03-17,11.375,11.09375,11.09375,11.25,66928.0,0.00021194122382439673
2000-03-20,11.5625,10.9375,11.3125,10.9375,86720.0,0.0002060539263766259
2000-03-21,11.1875,11.0,11.0,11.125,65600.0,0.00020958631648682058
2000-03-22,11.125,11.0,11.125,11.125,118928.0,0.00020958631648682058
2000-03-23,11.375,10.9375,11.09375,10.9375,76960.0,0.0002060539263766259
2000-03-24,10.9375,10.625,10.6875,10.75,41312.0,0.00020252160902600735
2000-03-27,10.9375,10.625,10.75,10.625,99840.0,0.00020016668713651597
2000-03-28,11.0,10.6875,10.875,10.8125,72000.0,0.00020369903359096497
2000-03-29,11.0,10.875,10.90625,11.0,161600.0,0.0002072313945973292
2000-03-30,11.0,10.625,10.9375,10.875,176160.0,0.00020487650181166828
2000-03-31,11.0,10.625,10.75,11.0,80000.0,0.0002072313945973292
2000-04-03,11.25,10.9375,10.9375,10.9375,124720.0,0.0002060539263766259
