Date,High,Low,Open,Close,Volume,Adj Close
2000-06-13,94.0,88.0,93.5,88.5,223433722.0,32.38823699951172
2000-06-14,90.5,85.0,89.0,86.5,71480372.0,31.65631103515625
2000-06-15,86.5,83.0,86.5,84.5,86729282.0,30.92436408996582
2000-06-16,86.5,83.0,83.0,85.5,33537312.0,31.290340423583984
2000-06-20,90.5,87.0,88.0,88.0,17483791.0,32.20526123046875
2000-06-21,89.0,86.0,88.0,87.0,9314077.0,31.839296340942383
2000-06-22,87.5,86.0,87.0,87.5,11634470.0,32.02227020263672
2000-06-26,89.5,85.5,87.0,88.5,10648878.0,32.38823699951172
2000-06-27,90.5,86.5,89.0,86.5,27383061.0,31.65631103515625
2000-06-28,88.0,85.5,87.5,86.5,19968768.0,31.65631103515625
2000-06-29,86.5,82.0,86.0,82.5,14496441.0,30.19243621826172
2000-06-30,84.0,82.5,82.5,83.0,12151843.0,30.375417709350586
2000-07-03,84.5,83.0,84.0,84.5,5002095.0,30.92436408996582
2000-07-04,84.0,82.5,83.5,83.0,6218971.0,30.375417709350586
2000-07-05,84.5,83.5,83.5,84.5,3584427.0,30.92436408996582
2000-07-06,85.0,83.5,84.5,85.0,5854288.0,31.10736083984375
2000-07-10,86.5,84.5,85.0,86.5,4663938.0,31.65631103515625
2000-07-11,86.0,85.0,85.0,85.5,3245109.0,31.290340423583984
2000-07-12,86.0,85.0,85.5,85.0,2697460.0,31.10736083984375
2000-07-13,86.0,84.5,85.0,85.0,6038484.0,31.10736083984375
2000-07-14,85.5,84.5,85.0,85.5,5268234.0,31.290340423583984
2000-07-17,85.5,84.5,85.0,85.5,3745298.0,31.290340423583984
2000-07-18,87.0,85.5,85.5,86.0,5558006.0,31.473329544067383
2000-07-19,87.0,86.0,86.0,87.0,3468537.0,31.839296340942383
2000-07-20,89.0,86.0,86.5,88.5,4407755.0,32.38823699951172
2000-07-21,89.0,87.5,88.0,88.0,3705211.0,32.20526123046875
2000-07-25,86.0,84.5,86.0,85.0,3617439.0,31.10736083984375
2000-07-26,85.0,83.5,84.5,84.0,2550943.0,30.74139404296875
2000-07-28,83.5,79.0,81.5,80.5,8413918.0,29.460493087768555
2000-07-31,81.0,78.5,80.5,79.0,4760358.0,28.911544799804688
2000-08-01,81.0,79.0,80.0,79.5,4210076.0,29.094520568847656
